"PoOrderId","PoOrderLineId","PoSupplierId","PoEnteredDate","PoExpectedDate","PoProductId","PoQuantity","PoInKg","PoInCarton","PoSupplierUnit","PoUnitCost"
177997,177997,"SU003",2017-08-05,2017-08-14,"SKU05",42,181.44,42,"Car",64800
177998,177998,"SU003",2017-08-05,2017-08-06,"SKU05",2,8.64,2,"Car",64800
178021,178021,"SU002",2017-08-05,2017-08-12,"SKU02",1897,23401,1897,"Car",69894.6051660517
178048,178048,"SU002",2017-08-05,2017-08-11,"SKU15",56.16,56.16,13,"Kg",25250
178049,178049,"SU002",2017-08-05,2017-08-13,"SKU15",12.96,12.96,3,"Kg",25250
178050,178050,"SU002",2017-08-05,2017-08-07,"SKU15",4.32,4.32,1,"Kg",25250
178091,178091,"SU002",2017-08-05,2017-08-07,"SKU17",4.32,4.32,1,"Kg",23000
178092,178092,"SU002",2017-08-05,2017-08-10,"SKU17",8.64,8.64,2,"Kg",23000
178093,178093,"SU002",2017-08-05,2017-08-10,"SKU17",30.24,30.24,7,"Kg",23000
211376,211376,"SU002",2017-08-06,2017-08-14,"SKU17",60.48,60.48,14,"Kg",23000
211377,211377,"SU004",2017-08-06,2017-08-11,"SKU10",296.1,296.1,47,"Kg",13699
211438,211438,"SU001",2017-08-06,2017-08-07,"SKU01",1677,5031,1677,"Car",19929
211460,211460,"SU002",2017-08-06,2017-08-08,"SKU03",1192,3576,1192,"Car",18300
211487,211487,"SU004",2017-08-06,2017-08-14,"SKU09",262.08,262.08,52,"Kg",114173
211488,211488,"SU004",2017-08-06,2017-08-12,"SKU09",90.72,90.72,18,"Kg",114173
211498,211498,"SU003",2017-08-06,2017-08-08,"SKU07",112,112,40,"Kg",25000
211504,211504,"SU003",2017-08-06,2017-08-14,"SKU06",677.16,677.16,108,"Kg",12195
211506,211506,"SU004",2017-08-06,2017-08-12,"SKU08",268.32,268.32,43,"Kg",7544
211507,211507,"SU004",2017-08-06,2017-08-07,"SKU08",12.48,12.48,2,"Kg",7544
211525,211525,"SU003",2017-08-06,2017-08-08,"SKU05",25,108,25,"Car",64800
211526,211526,"SU003",2017-08-06,2017-08-14,"SKU14",47.52,47.52,8,"Kg",14000
211527,211527,"SU003",2017-08-06,2017-08-14,"SKU14",5.94,5.94,1,"Kg",14000
211528,211528,"SU003",2017-08-06,2017-08-15,"SKU14",59.4,59.4,10,"Kg",14000
215764,215764,"SU001",2017-08-07,2017-08-09,"SKU01",6,18,6,"Car",19929
215779,215779,"SU002",2017-08-07,2017-08-12,"SKU03",709,2127,709,"Car",18300
215804,215804,"SU003",2017-08-07,2017-08-14,"SKU05",18,77.76,18,"Car",64800
215805,215805,"SU003",2017-08-07,2017-08-15,"SKU05",2,8.64,2,"Car",64800
215815,215815,"SU002",2017-08-07,2017-08-12,"SKU02",2009,24783,2009,"Car",69895.7083125933
215828,215828,"SU002",2017-08-07,2017-08-13,"SKU15",30.24,30.24,7,"Kg",25250
215829,215829,"SU002",2017-08-07,2017-08-14,"SKU15",21.6,21.6,5,"Kg",25250
215830,215830,"SU002",2017-08-07,2017-08-14,"SKU15",4.32,4.32,1,"Kg",25250
257012,257012,"SU002",2017-08-08,2017-08-15,"SKU15",17.28,17.28,4,"Kg",25250
257059,257059,"SU002",2017-08-08,2017-08-14,"SKU03",1183,3549,1183,"Car",18300
300832,300832,"SU002",2017-08-09,2017-08-14,"SKU16",338.9,338.9,27,"Kg",9582
300859,300859,"SU002",2017-08-09,2017-08-16,"SKU17",4.32,4.32,1,"Kg",23000
300860,300860,"SU002",2017-08-09,2017-08-16,"SKU17",8.64,8.64,2,"Kg",23000
300861,300861,"SU002",2017-08-09,2017-08-17,"SKU17",86.4,86.4,20,"Kg",23000
300862,300862,"SU004",2017-08-09,2017-08-15,"SKU10",258.3,258.3,41,"Kg",13699
300946,300946,"SU002",2017-08-09,2017-08-14,"SKU03",722,2166,722,"Car",18300
300988,300988,"SU003",2017-08-09,2017-08-11,"SKU07",64.4,64.4,23,"Kg",25000
300989,300989,"SU003",2017-08-09,2017-08-17,"SKU07",47.6,47.6,17,"Kg",25000
300990,300990,"SU003",2017-08-09,2017-08-14,"SKU07",5.6,5.6,2,"Kg",25000
300997,300997,"SU004",2017-08-09,2017-08-17,"SKU08",187.2,187.2,30,"Kg",7544
300998,300998,"SU004",2017-08-09,2017-08-15,"SKU08",12.48,12.48,2,"Kg",7544
301018,301018,"SU003",2017-08-09,2017-08-17,"SKU05",37,159.84,37,"Car",64800
301019,301019,"SU003",2017-08-09,2017-08-18,"SKU05",1,4.32,1,"Car",64800
301020,301020,"SU003",2017-08-09,2017-08-17,"SKU14",95.04,95.04,16,"Kg",14000
301021,301021,"SU003",2017-08-09,2017-08-14,"SKU14",35.64,35.64,6,"Kg",14000
301022,301022,"SU003",2017-08-09,2017-08-15,"SKU14",5.94,5.94,1,"Kg",14000
301046,301046,"SU002",2017-08-09,2017-08-18,"SKU02",991.97,12237,991.97,"Car",69896.1077451939
301088,301088,"SU002",2017-08-09,2017-08-16,"SKU15",21.6,21.6,5,"Kg",25250
301089,301089,"SU002",2017-08-09,2017-08-18,"SKU15",4.32,4.32,1,"Kg",25250
346399,346399,"SU004",2017-08-09,2017-08-17,"SKU09",262.08,262.08,52,"Kg",114173
346424,346424,"SU003",2017-08-08,2017-08-19,"SKU05",24,103.68,24,"Car",64800
346477,346477,"SU002",2017-08-07,2017-08-18,"SKU15",21.6,21.6,5,"Kg",25250
346478,346478,"SU002",2017-08-06,2017-08-17,"SKU15",8.64,8.64,2,"Kg",25250
346486,346486,"SU001",2017-08-08,2017-08-19,"SKU19",36,36,6,"Kg",82900
346509,346509,"SU002",2017-08-06,2017-08-11,"SKU17",30.24,30.24,7,"Kg",23000
346563,346563,"SU001",2017-08-07,2017-08-16,"SKU01",2,6,2,"Car",19929
389315,389315,"SU001",2017-08-10,2017-08-13,"SKU01",2551,7653,2551,"Car",19929
389338,389338,"SU002",2017-08-09,2017-08-20,"SKU03",1441,4323,1441,"Car",18300
389361,389361,"SU004",2017-08-07,2017-08-13,"SKU09",196.56,196.56,39,"Kg",114173
389372,389372,"SU003",2017-08-08,2017-08-12,"SKU07",117.6,117.6,42,"Kg",25000
389373,389373,"SU003",2017-08-08,2017-08-20,"SKU07",30.8,30.8,11,"Kg",25000
389374,389374,"SU003",2017-08-09,2017-08-16,"SKU07",5.6,5.6,2,"Kg",25000
389379,389379,"SU004",2017-08-10,2017-08-12,"SKU08",218.4,218.4,35,"Kg",7544
389380,389380,"SU004",2017-08-10,2017-08-19,"SKU08",12.48,12.48,2,"Kg",7544
389398,389398,"SU003",2017-08-09,2017-08-12,"SKU14",47.52,47.52,8,"Kg",14000
389399,389399,"SU003",2017-08-09,2017-08-17,"SKU14",5.94,5.94,1,"Kg",14000
389400,389400,"SU003",2017-08-08,2017-08-18,"SKU05",26,112.32,26,"Car",64800
389401,389401,"SU003",2017-08-08,2017-08-20,"SKU05",1,4.32,1,"Car",64800
389419,389419,"SU002",2017-08-09,2017-08-18,"SKU02",641,7907.4,641,"Car",69895.9881435257
389467,389467,"SU002",2017-08-10,2017-08-17,"SKU16",326.35,326.35,26,"Kg",9582
389484,389484,"SU002",2017-08-10,2017-08-20,"SKU17",34.56,34.56,8,"Kg",23000
389485,389485,"SU004",2017-08-08,2017-08-16,"SKU10",340.2,340.2,54,"Kg",13699
435262,435262,"SU001",2017-08-11,2017-08-18,"SKU01",5,15,5,"Car",19929
435316,435316,"SU003",2017-08-11,2017-08-20,"SKU07",50.4,50.4,18,"Kg",25000
435317,435317,"SU003",2017-08-10,2017-08-19,"SKU07",22.4,22.4,8,"Kg",25000
435322,435322,"SU003",2017-08-11,2017-08-21,"SKU06",307.23,307.23,49,"Kg",12195
435323,435323,"SU003",2017-08-10,2017-08-17,"SKU06",401.28,401.28,64,"Kg",12195
435325,435325,"SU004",2017-08-09,2017-08-18,"SKU08",180.96,180.96,29,"Kg",7544
435338,435338,"SU003",2017-08-08,2017-08-13,"SKU05",21,90.72,21,"Car",64800
435339,435339,"SU003",2017-08-08,2017-08-21,"SKU05",16,69.12,16,"Car",64800
435340,435340,"SU003",2017-08-09,2017-08-18,"SKU14",95.04,95.04,16,"Kg",14000
435403,435403,"SU002",2017-08-11,2017-08-17,"SKU15",4.32,4.32,1,"Kg",25250
435404,435404,"SU002",2017-08-09,2017-08-13,"SKU15",17.28,17.28,4,"Kg",25250
435405,435405,"SU002",2017-08-11,2017-08-13,"SKU15",30.24,30.24,7,"Kg",25250
435412,435412,"SU001",2017-08-11,2017-08-18,"SKU19",24,24,4,"Kg",82900
435437,435437,"SU002",2017-08-08,2017-08-14,"SKU17",69.12,69.12,16,"Kg",23000
435438,435438,"SU002",2017-08-10,2017-08-21,"SKU17",4.32,4.32,1,"Kg",23000
468605,468605,"SU002",2017-08-09,2017-08-22,"SKU03",1835,5505,1835,"Car",18300
468640,468640,"SU003",2017-08-11,2017-08-19,"SKU07",106.4,106.4,38,"Kg",25000
468641,468641,"SU003",2017-08-12,2017-08-19,"SKU07",30.8,30.8,11,"Kg",25000
468642,468642,"SU003",2017-08-09,2017-08-18,"SKU07",5.6,5.6,2,"Kg",25000
468647,468647,"SU004",2017-08-10,2017-08-21,"SKU08",212.16,212.16,34,"Kg",7544
468648,468648,"SU004",2017-08-09,2017-08-18,"SKU08",12.48,12.48,2,"Kg",7544
468667,468667,"SU003",2017-08-11,2017-08-15,"SKU05",1,4.32,1,"Car",64800
468668,468668,"SU003",2017-08-12,2017-08-15,"SKU05",18,77.76,18,"Car",64800
468689,468689,"SU002",2017-08-09,2017-08-21,"SKU02",697,8598.2,697,"Car",69895.8410329986
468720,468720,"SU002",2017-08-11,2017-08-18,"SKU15",21.6,21.6,5,"Kg",25250
468738,468738,"SU002",2017-08-09,2017-08-20,"SKU16",439.32,439.32,35,"Kg",9582
468757,468757,"SU004",2017-08-12,2017-08-15,"SKU10",333.9,333.9,53,"Kg",13699
468822,468822,"SU001",2017-08-12,2017-08-19,"SKU01",1621,4863,1621,"Car",19929
513322,513322,"SU003",2017-08-13,2017-08-16,"SKU13",52.8,52.8,22,"Kg",105600
513323,513323,"SU002",2017-08-11,2017-08-23,"SKU03",1732,5196,1732,"Car",18300
513347,513347,"SU003",2017-08-14,2017-08-16,"SKU07",61.6,61.6,22,"Kg",25000
513350,513350,"SU003",2017-08-11,2017-08-24,"SKU06",363.66,363.66,58,"Kg",12195
513351,513351,"SU004",2017-08-14,2017-08-23,"SKU08",106.08,106.08,17,"Kg",7544
513352,513352,"SU004",2017-08-14,2017-08-23,"SKU08",12.48,12.48,2,"Kg",7544
513359,513359,"SU003",2017-08-12,2017-08-22,"SKU14",47.52,47.52,8,"Kg",14000
513360,513360,"SU003",2017-08-12,2017-08-20,"SKU14",47.52,47.52,8,"Kg",14000
513361,513361,"SU003",2017-08-12,2017-08-23,"SKU14",5.94,5.94,1,"Kg",14000
548536,548536,"SU003",2017-08-14,2017-08-18,"SKU13",62.4,62.4,26,"Kg",105600
548568,548568,"SU004",2017-08-15,2017-08-18,"SKU09",120.96,120.96,24,"Kg",114173
548569,548569,"SU004",2017-08-15,2017-08-22,"SKU09",115.92,115.92,23,"Kg",114173
548578,548578,"SU003",2017-08-12,2017-08-23,"SKU07",112,112,40,"Kg",25000
548579,548579,"SU003",2017-08-14,2017-08-18,"SKU07",50.4,50.4,18,"Kg",25000
548587,548587,"SU004",2017-08-13,2017-08-22,"SKU08",168.48,168.48,27,"Kg",7544
548603,548603,"SU003",2017-08-15,2017-08-21,"SKU05",11,47.52,11,"Car",64800
548604,548604,"SU003",2017-08-13,2017-08-24,"SKU05",36,155.52,36,"Car",64800
548605,548605,"SU003",2017-08-14,2017-08-18,"SKU05",1,4.32,1,"Car",64800
548606,548606,"SU003",2017-08-12,2017-08-23,"SKU14",53.46,53.46,9,"Kg",14000
548634,548634,"SU002",2017-08-15,2017-08-17,"SKU02",763,9412.4,763,"Car",69896.0136304063
548660,548660,"SU002",2017-08-15,2017-08-17,"SKU15",30.24,30.24,7,"Kg",25250
548661,548661,"SU002",2017-08-12,2017-08-22,"SKU15",4.32,4.32,1,"Kg",25250
548703,548703,"SU002",2017-08-14,2017-08-18,"SKU17",4.32,4.32,1,"Kg",23000
548704,548704,"SU002",2017-08-13,2017-08-21,"SKU17",4.32,4.32,1,"Kg",23000
548705,548705,"SU002",2017-08-13,2017-08-22,"SKU17",56.16,56.16,13,"Kg",23000
548706,548706,"SU004",2017-08-12,2017-08-24,"SKU10",396.9,396.9,63,"Kg",13699
588619,588619,"SU001",2017-08-13,2017-08-25,"SKU01",4,12,4,"Car",19929
588644,588644,"SU002",2017-08-13,2017-08-23,"SKU03",828,2484,828,"Car",18300
588666,588666,"SU004",2017-08-16,2017-08-23,"SKU09",312.48,312.48,62,"Kg",114173
588674,588674,"SU003",2017-08-15,2017-08-26,"SKU06",363.66,363.66,58,"Kg",12195
588675,588675,"SU004",2017-08-16,2017-08-19,"SKU08",162.24,162.24,26,"Kg",7544
588676,588676,"SU004",2017-08-14,2017-08-25,"SKU08",12.48,12.48,2,"Kg",7544
588688,588688,"SU003",2017-08-16,2017-08-19,"SKU14",53.46,53.46,9,"Kg",14000
588689,588689,"SU003",2017-08-13,2017-08-22,"SKU14",53.46,53.46,9,"Kg",14000
588690,588690,"SU003",2017-08-16,2017-08-23,"SKU05",14,60.48,14,"Car",64800
588733,588733,"SU002",2017-08-16,2017-08-26,"SKU15",17.28,17.28,4,"Kg",25250
588751,588751,"SU002",2017-08-16,2017-08-24,"SKU16",401.66,401.66,32,"Kg",9582
588759,588759,"SU002",2017-08-15,2017-08-23,"SKU17",51.84,51.84,12,"Kg",23000
629837,629837,"SU001",2017-08-16,2017-08-25,"SKU20",70,70,7,"Kg",26550
629841,629841,"SU004",2017-08-16,2017-08-19,"SKU09",161.28,161.28,32,"Kg",114173
629842,629842,"SU004",2017-08-17,2017-08-25,"SKU09",120.96,120.96,24,"Kg",114173
629850,629850,"SU003",2017-08-17,2017-08-23,"SKU07",36.4,36.4,13,"Kg",25000
629851,629851,"SU003",2017-08-15,2017-08-24,"SKU07",5.6,5.6,2,"Kg",25000
629852,629852,"SU003",2017-08-17,2017-08-23,"SKU07",193.2,193.2,69,"Kg",25000
629859,629859,"SU004",2017-08-15,2017-08-27,"SKU08",143.52,143.52,23,"Kg",7544
629870,629870,"SU003",2017-08-16,2017-08-20,"SKU05",23,99.36,23,"Car",64800
629871,629871,"SU003",2017-08-14,2017-08-23,"SKU05",1,4.32,1,"Car",64800
629872,629872,"SU003",2017-08-15,2017-08-20,"SKU14",41.58,41.58,7,"Kg",14000
629923,629923,"SU002",2017-08-17,2017-08-23,"SKU15",25.92,25.92,6,"Kg",25250
629996,629996,"SU001",2017-08-15,2017-08-26,"SKU01",1496,4488,1496,"Car",19929
630010,630010,"SU002",2017-08-15,2017-08-24,"SKU03",558,1674,558,"Car",18300
674589,674589,"SU001",2017-08-17,2017-08-24,"SKU01",4,12,4,"Car",19929
674590,674590,"SU001",2017-08-18,2017-08-21,"SKU01",1960,5880,1960,"Car",19929
674614,674614,"SU002",2017-08-16,2017-08-27,"SKU03",1215,3645,1215,"Car",18300
674647,674647,"SU003",2017-08-15,2017-08-25,"SKU06",357.39,357.39,57,"Kg",12195
674660,674660,"SU002",2017-08-16,2017-08-28,"SKU04",195,367.38,195,"Car",20658.06
674686,674686,"SU002",2017-08-17,2017-08-28,"SKU02",696,8585.9,696,"Car",69896.1341954023
674703,674703,"SU002",2017-08-17,2017-08-28,"SKU15",43.2,43.2,10,"Kg",25250
674726,674726,"SU004",2017-08-17,2017-08-27,"SKU10",245.7,245.7,39,"Kg",13699
707832,707832,"SU002",2017-08-19,2017-08-29,"SKU02",734,9054.6,734,"Car",69895.5907356948
707868,707868,"SU002",2017-08-19,2017-08-25,"SKU15",17.28,17.28,4,"Kg",25250
707884,707884,"SU002",2017-08-16,2017-08-28,"SKU16",476.98,476.98,38,"Kg",9582
707885,707885,"SU002",2017-08-17,2017-08-28,"SKU16",225.94,225.94,18,"Kg",9582
707906,707906,"SU002",2017-08-18,2017-08-28,"SKU17",108,108,25,"Kg",23000
707907,707907,"SU002",2017-08-19,2017-08-29,"SKU17",4.32,4.32,1,"Kg",23000
707908,707908,"SU002",2017-08-17,2017-08-21,"SKU17",4.32,4.32,1,"Kg",23000
707988,707988,"SU003",2017-08-16,2017-08-25,"SKU13",48,48,20,"Kg",105600
707989,707989,"SU003",2017-08-19,2017-08-28,"SKU13",28.8,28.8,12,"Kg",105600
707993,707993,"SU002",2017-08-19,2017-08-27,"SKU03",619,1857,619,"Car",18300
708016,708016,"SU004",2017-08-17,2017-08-28,"SKU09",221.76,221.76,44,"Kg",114173
708025,708025,"SU003",2017-08-16,2017-08-27,"SKU07",117.6,117.6,42,"Kg",25000
708026,708026,"SU003",2017-08-16,2017-08-28,"SKU07",81.2,81.2,29,"Kg",25000
708027,708027,"SU003",2017-08-16,2017-08-29,"SKU07",5.6,5.6,2,"Kg",25000
708031,708031,"SU003",2017-08-17,2017-08-27,"SKU06",407.55,407.55,65,"Kg",12195
708034,708034,"SU004",2017-08-17,2017-08-22,"SKU08",168.48,168.48,27,"Kg",7544
708035,708035,"SU004",2017-08-17,2017-08-28,"SKU08",12.48,12.48,2,"Kg",7544
708048,708048,"SU003",2017-08-16,2017-08-29,"SKU05",36,155.52,36,"Car",64800
708049,708049,"SU003",2017-08-19,2017-08-25,"SKU05",1,4.32,1,"Car",64800
708050,708050,"SU003",2017-08-19,2017-08-21,"SKU14",29.7,29.7,5,"Kg",14000
708051,708051,"SU003",2017-08-17,2017-08-22,"SKU14",59.4,59.4,10,"Kg",14000
712767,712767,"SU002",2017-08-17,2017-08-30,"SKU03",1236,3708,1236,"Car",18300
712771,712771,"SU004",2017-08-17,2017-08-27,"SKU09",216.72,216.72,43,"Kg",114173
752773,752773,"SU002",2017-08-18,2017-08-29,"SKU15",4.32,4.32,1,"Kg",25250
752774,752774,"SU002",2017-08-20,2017-08-31,"SKU15",21.6,21.6,5,"Kg",25250
797785,797785,"SU002",2017-08-20,2017-08-29,"SKU17",82.08,82.08,19,"Kg",23000
797786,797786,"SU002",2017-08-21,2017-09-01,"SKU17",4.32,4.32,1,"Kg",23000
797787,797787,"SU004",2017-08-21,2017-08-29,"SKU10",415.8,415.8,66,"Kg",13699
797843,797843,"SU001",2017-08-19,2017-08-28,"SKU01",3,9,3,"Car",19929
797862,797862,"SU003",2017-08-22,2017-08-24,"SKU13",45.6,45.6,19,"Kg",105600
797865,797865,"SU002",2017-08-22,2017-09-01,"SKU03",1851,5553,1851,"Car",18300
797902,797902,"SU003",2017-08-19,2017-08-28,"SKU07",109.2,109.2,39,"Kg",25000
797908,797908,"SU003",2017-08-20,2017-08-31,"SKU06",426.36,426.36,68,"Kg",12195
797911,797911,"SU004",2017-08-20,2017-08-31,"SKU08",168.48,168.48,27,"Kg",7544
797912,797912,"SU004",2017-08-20,2017-08-25,"SKU08",12.48,12.48,2,"Kg",7544
797931,797931,"SU003",2017-08-22,2017-08-25,"SKU05",32,138.24,32,"Car",64800
797932,797932,"SU003",2017-08-19,2017-08-30,"SKU05",34,146.88,34,"Car",64800
797933,797933,"SU003",2017-08-21,2017-08-31,"SKU14",77.22,77.22,13,"Kg",14000
797934,797934,"SU003",2017-08-19,2017-08-29,"SKU14",47.52,47.52,8,"Kg",14000
797954,797954,"SU002",2017-08-22,2017-08-28,"SKU02",792,9770.1,792,"Car",69895.6901515152
797991,797991,"SU002",2017-08-20,2017-08-29,"SKU15",30.24,30.24,7,"Kg",25250
798000,798000,"SU001",2017-08-21,2017-08-25,"SKU19",54,54,9,"Kg",82900
798012,798012,"SU002",2017-08-22,2017-08-25,"SKU16",338.9,338.9,27,"Kg",9582
842378,842378,"SU003",2017-08-21,2017-08-29,"SKU14",29.7,29.7,5,"Kg",14000
842459,842459,"SU002",2017-08-21,2017-09-02,"SKU17",38.88,38.88,9,"Kg",23000
842556,842556,"SU001",2017-08-22,2017-08-26,"SKU20",50,50,5,"Kg",26550
842558,842558,"SU004",2017-08-23,2017-08-31,"SKU09",221.76,221.76,44,"Kg",114173
842565,842565,"SU003",2017-08-20,2017-09-01,"SKU07",140,140,50,"Kg",25000
883120,883120,"SU002",2017-08-24,2017-09-01,"SKU16",364.01,364.01,29,"Kg",9582
883135,883135,"SU002",2017-08-21,2017-09-01,"SKU17",4.32,4.32,1,"Kg",23000
883136,883136,"SU002",2017-08-22,2017-08-30,"SKU17",30.24,30.24,7,"Kg",23000
883137,883137,"SU004",2017-08-23,2017-09-01,"SKU10",277.2,277.2,44,"Kg",13699
883189,883189,"SU001",2017-08-21,2017-09-02,"SKU01",2353,7059,2353,"Car",19929
883213,883213,"SU003",2017-08-24,2017-08-26,"SKU13",50.4,50.4,21,"Kg",105600
883214,883214,"SU002",2017-08-22,2017-09-01,"SKU03",1301,3903,1301,"Car",18300
883239,883239,"SU004",2017-08-22,2017-09-01,"SKU09",181.44,181.44,36,"Kg",114173
883255,883255,"SU004",2017-08-22,2017-08-27,"SKU08",12.48,12.48,2,"Kg",7544
883256,883256,"SU004",2017-08-23,2017-08-27,"SKU08",268.32,268.32,43,"Kg",7544
883272,883272,"SU003",2017-08-21,2017-08-30,"SKU05",12,51.84,12,"Car",64800
883273,883273,"SU003",2017-08-22,2017-09-03,"SKU05",43,185.76,43,"Car",64800
883274,883274,"SU003",2017-08-22,2017-09-03,"SKU14",53.46,53.46,9,"Kg",14000
883301,883301,"SU002",2017-08-23,2017-09-01,"SKU02",1034,12755,1034,"Car",69893.4526112186
883326,883326,"SU002",2017-08-23,2017-09-01,"SKU15",21.6,21.6,5,"Kg",25250
883327,883327,"SU002",2017-08-23,2017-09-03,"SKU15",38.88,38.88,9,"Kg",25250
925916,925916,"SU003",2017-08-23,2017-09-02,"SKU13",36,36,15,"Kg",105600
925954,925954,"SU003",2017-08-22,2017-08-27,"SKU06",213.18,213.18,34,"Kg",12195
925955,925955,"SU003",2017-08-23,2017-09-02,"SKU06",294.69,294.69,47,"Kg",12195
925971,925971,"SU003",2017-08-25,2017-09-04,"SKU05",11,47.52,11,"Car",64800
926031,926031,"SU002",2017-08-24,2017-09-01,"SKU15",21.6,21.6,5,"Kg",25250
926065,926065,"SU002",2017-08-22,2017-08-31,"SKU17",51.84,51.84,12,"Kg",23000
957112,957112,"SU002",2017-08-24,2017-09-05,"SKU03",1623,4869,1623,"Car",18300
957146,957146,"SU003",2017-08-26,2017-09-04,"SKU07",103.6,103.6,37,"Kg",25000
957150,957150,"SU003",2017-08-24,2017-09-03,"SKU06",275.88,275.88,44,"Kg",12195
957151,957151,"SU003",2017-08-23,2017-09-05,"SKU06",181.83,181.83,29,"Kg",12195
957152,957152,"SU004",2017-08-26,2017-09-01,"SKU08",12.48,12.48,2,"Kg",7544
