"RoOrderLineId","PoOrderLineId","RoSupplierId","RoDepartureDate","RoArrivalDate","RoProductId","RoInKg","RoInCarton","RoSupplierQty","RoSupplierUnit"
178855,177978,"SU003",2017-08-06,2017-08-07,"SKU07",50.4,18,50.4,"Kg"
178857,177977,"SU003",2017-08-06,2017-08-07,"SKU07",50.4,18,50.4,"Kg"
178868,178048,"SU002",2017-08-06,2017-08-07,"SKU15",56.16,13,56.16,"Kg"
178892,178093,"SU002",2017-08-06,2017-08-07,"SKU17",30.24,7,30.24,"Kg"
178919,178049,"SU002",2017-08-06,2017-08-07,"SKU15",12.96,3,12.96,"Kg"
178924,177979,"SU003",2017-08-06,2017-08-07,"SKU07",5.6,2,5.6,"Kg"
178927,177998,"SU003",2017-08-06,2017-08-07,"SKU05",8.64,2,2,"Car"
178930,178092,"SU002",2017-08-06,2017-08-07,"SKU17",8.64,2,8.64,"Kg"
178948,178050,"SU002",2017-08-06,2017-08-07,"SKU15",4.32,1,4.32,"Kg"
178949,178091,"SU002",2017-08-06,2017-08-07,"SKU17",4.32,1,4.32,"Kg"
188406,211438,"SU001",2017-08-07,2017-08-08,"SKU01",546,182,182,"Car"
188407,211438,"SU001",2017-08-07,2017-08-08,"SKU01",3000,1000,1000,"Car"
188408,211438,"SU001",2017-08-07,2017-08-08,"SKU01",1485,495,495,"Car"
188417,211504,"SU003",2017-08-07,2017-08-08,"SKU06",677.16,108,677.16,"Kg"
188440,211487,"SU004",2017-08-07,2017-08-08,"SKU09",262.08,52,262.08,"Kg"
188442,211377,"SU004",2017-08-07,2017-08-08,"SKU10",296.1,47,296.1,"Kg"
188444,211506,"SU004",2017-08-07,2017-08-08,"SKU08",268.32,43,268.32,"Kg"
188447,211498,"SU003",2017-08-07,2017-08-08,"SKU07",112,40,112,"Kg"
188481,211525,"SU003",2017-08-07,2017-08-08,"SKU05",108,25,25,"Car"
188494,211488,"SU004",2017-08-07,2017-08-08,"SKU09",90.72,18,90.72,"Kg"
188507,211376,"SU002",2017-08-07,2017-08-08,"SKU17",60.48,14,60.48,"Kg"
188523,211528,"SU003",2017-08-07,2017-08-08,"SKU14",59.4,10,59.4,"Kg"
188537,211526,"SU003",2017-08-07,2017-08-08,"SKU14",47.52,8,47.52,"Kg"
188585,211507,"SU004",2017-08-07,2017-08-08,"SKU08",12.48,2,12.48,"Kg"
188601,211527,"SU003",2017-08-07,2017-08-08,"SKU14",5.94,1,5.94,"Kg"
188613,211460,"SU002",2017-08-07,2017-08-08,"SKU03",2.5,0.83333,0.83333,"Car"
219801,215804,"SU003",2017-08-08,2017-08-09,"SKU05",77.76,18,18,"Car"
219805,215828,"SU002",2017-08-08,2017-08-09,"SKU15",30.24,7,30.24,"Kg"
219806,215829,"SU002",2017-08-08,2017-08-09,"SKU15",21.6,5,21.6,"Kg"
219809,215805,"SU003",2017-08-08,2017-08-09,"SKU05",8.64,2,2,"Car"
219812,215830,"SU002",2017-08-08,2017-08-09,"SKU15",4.32,1,4.32,"Kg"
219827,215815,"SU002",2017-08-08,2017-08-09,"SKU02",4588.98755599801,372,372,"Car"
219828,215815,"SU002",2017-08-08,2017-08-09,"SKU02",12323.6520657043,999,999,"Car"
219829,215815,"SU002",2017-08-08,2017-08-09,"SKU02",7870.36037829766,638,638,"Car"
219863,215764,"SU001",2017-08-08,2017-08-09,"SKU01",17,5.6667,5.6667,"Car"
219875,215764,"SU001",2017-08-08,2017-08-09,"SKU01",0.9999,0.3333,0.3333,"Car"
265594,257012,"SU002",2017-08-09,2017-08-10,"SKU15",17.28,4,17.28,"Kg"
265609,257059,"SU002",2017-08-09,2017-08-10,"SKU03",2326.1,775.38,775.38,"Car"
317540,301046,"SU002",2017-08-10,2017-08-11,"SKU02",12237,991.97,991.97,"Car"
317590,300862,"SU004",2017-08-10,2017-08-11,"SKU10",258.3,41,258.3,"Kg"
317598,301018,"SU003",2017-08-10,2017-08-11,"SKU05",159.84,37,37,"Car"
317607,300997,"SU004",2017-08-10,2017-08-11,"SKU08",187.2,30,187.2,"Kg"
317613,300832,"SU002",2017-08-10,2017-08-11,"SKU16",338.9,27,338.9,"Kg"
317629,300988,"SU003",2017-08-10,2017-08-11,"SKU07",64.4,23,64.4,"Kg"
317639,300861,"SU002",2017-08-10,2017-08-11,"SKU17",86.4,20,86.4,"Kg"
317647,300989,"SU003",2017-08-10,2017-08-11,"SKU07",47.6,17,47.6,"Kg"
317651,301020,"SU003",2017-08-10,2017-08-11,"SKU14",95.04,16,95.04,"Kg"
317708,301021,"SU003",2017-08-10,2017-08-11,"SKU14",35.64,6,35.64,"Kg"
317721,301088,"SU002",2017-08-10,2017-08-11,"SKU15",21.6,5,21.6,"Kg"
317755,300860,"SU002",2017-08-10,2017-08-11,"SKU17",8.64,2,8.64,"Kg"
317756,300990,"SU003",2017-08-10,2017-08-11,"SKU07",5.6,2,5.6,"Kg"
317757,300998,"SU004",2017-08-10,2017-08-11,"SKU08",12.48,2,12.48,"Kg"
317773,301022,"SU003",2017-08-10,2017-08-11,"SKU14",5.94,1,5.94,"Kg"
317779,300859,"SU002",2017-08-10,2017-08-11,"SKU17",4.32,1,4.32,"Kg"
317782,301089,"SU002",2017-08-10,2017-08-11,"SKU15",4.32,1,4.32,"Kg"
317791,301019,"SU003",2017-08-10,2017-08-11,"SKU05",4.32,1,1,"Car"
369952,346399,"SU004",2017-08-11,2017-08-12,"SKU09",171.36,34,171.36,"Kg"
370005,346399,"SU004",2017-08-11,2017-08-12,"SKU09",90.72,18,90.72,"Kg"
370052,346486,"SU001",2017-08-11,2017-08-12,"SKU19",36,6,36,"Kg"
370055,346509,"SU002",2017-08-11,2017-08-12,"SKU17",22.827,5.284,22.827,"Kg"
370062,346477,"SU002",2017-08-11,2017-08-12,"SKU15",21.6,5,21.6,"Kg"
370083,346478,"SU002",2017-08-11,2017-08-12,"SKU15",8.64,2,8.64,"Kg"
370087,346563,"SU001",2017-08-11,2017-08-12,"SKU01",6,2,2,"Car"
370089,346509,"SU002",2017-08-11,2017-08-12,"SKU17",7.4131,1.716,7.4131,"Kg"
427491,389315,"SU001",2017-08-12,2017-08-13,"SKU01",3000,1000,1000,"Car"
427492,389315,"SU001",2017-08-12,2017-08-13,"SKU01",3000,1000,1000,"Car"
427494,389419,"SU002",2017-08-12,2017-08-13,"SKU02",3108.68143525741,252,252,"Car"
427496,389315,"SU001",2017-08-12,2017-08-13,"SKU01",1263,421,421,"Car"
427497,389419,"SU002",2017-08-12,2017-08-13,"SKU02",4798.71856474259,389,389,"Car"
427514,389315,"SU001",2017-08-12,2017-08-13,"SKU01",390,130,130,"Car"
427535,389485,"SU004",2017-08-12,2017-08-13,"SKU10",340.2,54,340.2,"Kg"
427546,389372,"SU003",2017-08-12,2017-08-13,"SKU07",92.4,33,92.4,"Kg"
427550,389361,"SU004",2017-08-12,2017-08-13,"SKU09",196.56,39,196.56,"Kg"
427555,389379,"SU004",2017-08-12,2017-08-13,"SKU08",218.4,35,218.4,"Kg"
427564,389400,"SU003",2017-08-12,2017-08-13,"SKU05",112.32,26,26,"Car"
427565,389467,"SU002",2017-08-12,2017-08-13,"SKU16",326.35,26,326.35,"Kg"
427610,389373,"SU003",2017-08-12,2017-08-13,"SKU07",30.8,11,30.8,"Kg"
427622,389372,"SU003",2017-08-12,2017-08-13,"SKU07",25.2,9,25.2,"Kg"
427630,389398,"SU003",2017-08-12,2017-08-13,"SKU14",47.52,8,47.52,"Kg"
427634,389484,"SU002",2017-08-12,2017-08-13,"SKU17",34.56,8,34.56,"Kg"
427677,389374,"SU003",2017-08-12,2017-08-13,"SKU07",5.6,2,5.6,"Kg"
427681,389380,"SU004",2017-08-12,2017-08-13,"SKU08",12.48,2,12.48,"Kg"
427701,389401,"SU003",2017-08-12,2017-08-13,"SKU05",4.32,1,1,"Car"
427704,389399,"SU003",2017-08-12,2017-08-13,"SKU14",5.94,1,5.94,"Kg"
478372,435323,"SU003",2017-08-13,2017-08-14,"SKU06",401.28,64,401.28,"Kg"
478382,435322,"SU003",2017-08-13,2017-08-14,"SKU06",307.23,49,307.23,"Kg"
478401,435325,"SU004",2017-08-13,2017-08-14,"SKU08",180.96,29,180.96,"Kg"
478419,435338,"SU003",2017-08-13,2017-08-14,"SKU05",90.72,21,21,"Car"
478430,435316,"SU003",2017-08-13,2017-08-14,"SKU07",50.4,18,50.4,"Kg"
478434,435339,"SU003",2017-08-13,2017-08-14,"SKU05",69.12,16,16,"Car"
478436,435340,"SU003",2017-08-13,2017-08-14,"SKU14",95.04,16,95.04,"Kg"
478439,435437,"SU002",2017-08-13,2017-08-14,"SKU17",69.12,16,69.12,"Kg"
478476,435317,"SU003",2017-08-13,2017-08-14,"SKU07",22.4,8,22.4,"Kg"
478477,435405,"SU002",2017-08-13,2017-08-14,"SKU15",30.24,7,30.24,"Kg"
478502,435262,"SU001",2017-08-13,2017-08-14,"SKU01",14.5,4.8333,4.8333,"Car"
478507,435412,"SU001",2017-08-13,2017-08-14,"SKU19",24,4,24,"Kg"
478509,435404,"SU002",2017-08-13,2017-08-14,"SKU15",17.28,4,17.28,"Kg"
478559,435403,"SU002",2017-08-13,2017-08-14,"SKU15",4.32,1,4.32,"Kg"
478560,435438,"SU002",2017-08-13,2017-08-14,"SKU17",4.32,1,4.32,"Kg"
493687,468822,"SU001",2017-08-14,2017-08-15,"SKU01",1998,666,666,"Car"
493688,468822,"SU001",2017-08-14,2017-08-15,"SKU01",2865,955,955,"Car"
493689,468689,"SU002",2017-08-14,2017-08-15,"SKU02",555.120516499283,45,45,"Car"
493690,468689,"SU002",2017-08-14,2017-08-15,"SKU02",8043.07948350072,652,652,"Car"
493726,468757,"SU004",2017-08-14,2017-08-15,"SKU10",333.9,53,333.9,"Kg"
493740,468640,"SU003",2017-08-14,2017-08-15,"SKU07",106.4,38,106.4,"Kg"
493747,468738,"SU002",2017-08-14,2017-08-15,"SKU16",439.32,35,439.32,"Kg"
493749,468647,"SU004",2017-08-14,2017-08-15,"SKU08",212.16,34,212.16,"Kg"
493789,468668,"SU003",2017-08-14,2017-08-15,"SKU05",77.76,18,18,"Car"
493816,468641,"SU003",2017-08-14,2017-08-15,"SKU07",30.8,11,30.8,"Kg"
493855,468720,"SU002",2017-08-14,2017-08-15,"SKU15",21.6,5,21.6,"Kg"
493887,468648,"SU004",2017-08-14,2017-08-15,"SKU08",12.48,2,12.48,"Kg"
493893,468642,"SU003",2017-08-14,2017-08-15,"SKU07",5.6,2,5.6,"Kg"
493907,468667,"SU003",2017-08-14,2017-08-15,"SKU05",4.32,1,1,"Car"
581523,513360,"SU003",2017-08-16,2017-08-17,"SKU14",47.52,8,47.52,"Kg"
581524,513359,"SU003",2017-08-16,2017-08-17,"SKU14",47.52,8,47.52,"Kg"
581525,513361,"SU003",2017-08-16,2017-08-17,"SKU14",5.94,1,5.94,"Kg"
581533,513350,"SU003",2017-08-16,2017-08-17,"SKU06",363.66,58,363.66,"Kg"
581541,513351,"SU004",2017-08-16,2017-08-17,"SKU08",106.08,17,106.08,"Kg"
581544,513347,"SU003",2017-08-16,2017-08-17,"SKU07",61.6,22,61.6,"Kg"
581547,513322,"SU003",2017-08-16,2017-08-17,"SKU13",2.4,1,2.4,"Kg"
581548,513323,"SU002",2017-08-16,2017-08-17,"SKU03",2928.6,976.2,976.2,"Car"
581568,513322,"SU003",2017-08-16,2017-08-17,"SKU13",50.4,21,50.4,"Kg"
581583,513323,"SU002",2017-08-16,2017-08-17,"SKU03",24,8,8,"Car"
581608,513352,"SU004",2017-08-16,2017-08-17,"SKU08",12.48,2,12.48,"Kg"
632889,548634,"SU002",2017-08-17,2017-08-18,"SKU02",9412.4,763,763,"Car"
632914,548706,"SU004",2017-08-17,2017-08-18,"SKU10",396.9,63,396.9,"Kg"
632935,548604,"SU003",2017-08-17,2017-08-18,"SKU05",155.52,36,36,"Car"
632951,548587,"SU004",2017-08-17,2017-08-18,"SKU08",168.48,27,168.48,"Kg"
632954,548536,"SU003",2017-08-17,2017-08-18,"SKU13",62.4,26,62.4,"Kg"
632955,548568,"SU004",2017-08-17,2017-08-18,"SKU09",120.96,24,120.96,"Kg"
632963,548569,"SU004",2017-08-17,2017-08-18,"SKU09",115.92,23,115.92,"Kg"
632989,548705,"SU002",2017-08-17,2017-08-18,"SKU17",56.16,13,56.16,"Kg"
632997,548603,"SU003",2017-08-17,2017-08-18,"SKU05",47.52,11,11,"Car"
633012,548606,"SU003",2017-08-17,2017-08-18,"SKU14",53.46,9,53.46,"Kg"
633020,548660,"SU002",2017-08-17,2017-08-18,"SKU15",30.24,7,30.24,"Kg"
633085,548661,"SU002",2017-08-17,2017-08-18,"SKU15",4.32,1,4.32,"Kg"
633088,548704,"SU002",2017-08-17,2017-08-18,"SKU17",4.32,1,4.32,"Kg"
633089,548703,"SU002",2017-08-17,2017-08-18,"SKU17",4.32,1,4.32,"Kg"
633090,548605,"SU003",2017-08-17,2017-08-18,"SKU05",4.32,1,1,"Car"
685553,588759,"SU002",2017-08-18,2017-08-19,"SKU17",51.84,12,51.84,"Kg"
685581,588666,"SU004",2017-08-18,2017-08-19,"SKU09",312.48,62,312.48,"Kg"
685583,588674,"SU003",2017-08-18,2017-08-19,"SKU06",363.66,58,363.66,"Kg"
685600,588751,"SU002",2017-08-18,2017-08-19,"SKU16",401.66,32,401.66,"Kg"
685606,588675,"SU004",2017-08-18,2017-08-19,"SKU08",162.24,26,162.24,"Kg"
685629,588690,"SU003",2017-08-18,2017-08-19,"SKU05",60.48,14,14,"Car"
685655,588688,"SU003",2017-08-18,2017-08-19,"SKU14",53.46,9,53.46,"Kg"
685656,588689,"SU003",2017-08-18,2017-08-19,"SKU14",53.46,9,53.46,"Kg"
685682,588733,"SU002",2017-08-18,2017-08-19,"SKU15",17.28,4,17.28,"Kg"
685692,588676,"SU004",2017-08-18,2017-08-19,"SKU08",12.48,2,12.48,"Kg"
741602,629996,"SU001",2017-08-19,2017-08-20,"SKU01",1854,618,618,"Car"
741603,629996,"SU001",2017-08-19,2017-08-20,"SKU01",2634,878,878,"Car"
741640,629852,"SU003",2017-08-19,2017-08-20,"SKU07",193.2,69,193.2,"Kg"
741658,629841,"SU004",2017-08-19,2017-08-20,"SKU09",161.28,32,161.28,"Kg"
741674,629842,"SU004",2017-08-19,2017-08-20,"SKU09",120.96,24,120.96,"Kg"
741677,629870,"SU003",2017-08-19,2017-08-20,"SKU05",99.36,23,23,"Car"
741678,629859,"SU004",2017-08-19,2017-08-20,"SKU08",143.52,23,143.52,"Kg"
741700,629850,"SU003",2017-08-19,2017-08-20,"SKU07",36.4,13,36.4,"Kg"
741730,629872,"SU003",2017-08-19,2017-08-20,"SKU14",41.58,7,41.58,"Kg"
741732,629837,"SU001",2017-08-19,2017-08-20,"SKU20",70,7,70,"Kg"
741736,629923,"SU002",2017-08-19,2017-08-20,"SKU15",25.92,6,25.92,"Kg"
741762,629851,"SU003",2017-08-19,2017-08-20,"SKU07",5.6,2,5.6,"Kg"
741777,629871,"SU003",2017-08-19,2017-08-20,"SKU05",4.32,1,1,"Car"
793092,674660,"SU002",2017-08-20,2017-08-21,"SKU04",367.38,195,195,"Car"
793096,674590,"SU001",2017-08-20,2017-08-21,"SKU01",285,95,95,"Car"
793097,674590,"SU001",2017-08-20,2017-08-21,"SKU01",3000,1000,1000,"Car"
793098,674590,"SU001",2017-08-20,2017-08-21,"SKU01",2595,865,865,"Car"
793100,674686,"SU002",2017-08-20,2017-08-21,"SKU02",8585.9,696,696,"Car"
793126,674647,"SU003",2017-08-20,2017-08-21,"SKU06",357.39,57,357.39,"Kg"
793145,674726,"SU004",2017-08-20,2017-08-21,"SKU10",245.7,39,245.7,"Kg"
793198,674703,"SU002",2017-08-20,2017-08-21,"SKU15",43.2,10,43.2,"Kg"
793228,674589,"SU001",2017-08-20,2017-08-21,"SKU01",12,4,4,"Car"
808977,707885,"SU002",2017-08-21,2017-08-22,"SKU16",225.94,18,225.94,"Kg"
808984,707832,"SU002",2017-08-21,2017-08-22,"SKU02",9054.6,734,734,"Car"
809014,708031,"SU003",2017-08-21,2017-08-22,"SKU06",407.55,65,407.55,"Kg"
809025,708016,"SU004",2017-08-21,2017-08-22,"SKU09",221.76,44,221.76,"Kg"
809029,708025,"SU003",2017-08-21,2017-08-22,"SKU07",117.6,42,117.6,"Kg"
809036,707884,"SU002",2017-08-21,2017-08-22,"SKU16",476.98,38,476.98,"Kg"
809040,708048,"SU003",2017-08-21,2017-08-22,"SKU05",155.52,36,36,"Car"
809046,708026,"SU003",2017-08-21,2017-08-22,"SKU07",22.4,8,22.4,"Kg"
809049,708034,"SU004",2017-08-21,2017-08-22,"SKU08",168.48,27,168.48,"Kg"
809053,707906,"SU002",2017-08-21,2017-08-22,"SKU17",108,25,108,"Kg"
809066,708026,"SU003",2017-08-21,2017-08-22,"SKU07",58.8,21,58.8,"Kg"
809069,707988,"SU003",2017-08-21,2017-08-22,"SKU13",48,20,48,"Kg"
809104,707989,"SU003",2017-08-21,2017-08-22,"SKU13",28.8,12,28.8,"Kg"
809119,708051,"SU003",2017-08-21,2017-08-22,"SKU14",59.4,10,59.4,"Kg"
809152,708050,"SU003",2017-08-21,2017-08-22,"SKU14",29.7,5,29.7,"Kg"
809167,707868,"SU002",2017-08-21,2017-08-22,"SKU15",17.28,4,17.28,"Kg"
809178,708035,"SU004",2017-08-21,2017-08-22,"SKU08",12.48,2,12.48,"Kg"
809179,708027,"SU003",2017-08-21,2017-08-22,"SKU07",5.6,2,5.6,"Kg"
809187,707907,"SU002",2017-08-21,2017-08-22,"SKU17",4.32,1,4.32,"Kg"
809194,707908,"SU002",2017-08-21,2017-08-22,"SKU17",4.32,1,4.32,"Kg"
809195,708049,"SU003",2017-08-21,2017-08-22,"SKU05",4.32,1,1,"Car"
850490,712771,"SU004",2017-08-22,2017-08-23,"SKU09",216.72,43,216.72,"Kg"
906528,752774,"SU002",2017-08-23,2017-08-24,"SKU15",21.6,5,21.6,"Kg"
906529,752773,"SU002",2017-08-23,2017-08-24,"SKU15",4.32,1,4.32,"Kg"
963176,797785,"SU002",2017-08-24,2017-08-25,"SKU17",82.08,19,82.08,"Kg"
963177,797786,"SU002",2017-08-24,2017-08-25,"SKU17",4.32,1,4.32,"Kg"
963180,797954,"SU002",2017-08-24,2017-08-25,"SKU02",9770.1,792,792,"Car"
963181,797865,"SU002",2017-08-24,2017-08-25,"SKU03",624,208,208,"Car"
963182,797865,"SU002",2017-08-24,2017-08-25,"SKU03",1479,493,493,"Car"
963208,797908,"SU003",2017-08-24,2017-08-25,"SKU06",426.36,68,426.36,"Kg"
963209,797787,"SU004",2017-08-24,2017-08-25,"SKU10",415.8,66,415.8,"Kg"
963224,797902,"SU003",2017-08-24,2017-08-25,"SKU07",109.2,39,109.2,"Kg"
963236,797931,"SU003",2017-08-24,2017-08-25,"SKU05",138.24,32,32,"Car"
963242,798012,"SU002",2017-08-24,2017-08-25,"SKU16",37.6555555555556,3,37.6555555555556,"Kg"
963243,797911,"SU004",2017-08-24,2017-08-25,"SKU08",168.48,27,168.48,"Kg"
963249,798012,"SU002",2017-08-24,2017-08-25,"SKU16",301.244444444444,24,301.244444444444,"Kg"
963262,797862,"SU003",2017-08-24,2017-08-25,"SKU13",45.6,19,45.6,"Kg"
963279,797932,"SU003",2017-08-24,2017-08-25,"SKU05",68.319,15.815,15.815,"Car"
963288,797933,"SU003",2017-08-24,2017-08-25,"SKU14",77.22,13,77.22,"Kg"
963306,798000,"SU001",2017-08-24,2017-08-25,"SKU19",54,9,54,"Kg"
963308,797865,"SU002",2017-08-24,2017-08-25,"SKU03",25.5,8.5001,8.5001,"Car"
963309,797932,"SU003",2017-08-24,2017-08-25,"SKU05",36.239,8.3888,8.3888,"Car"
963312,797934,"SU003",2017-08-24,2017-08-25,"SKU14",47.52,8,47.52,"Kg"
963318,797932,"SU003",2017-08-24,2017-08-25,"SKU05",31.08,7.1944,7.1944,"Car"
963325,797991,"SU002",2017-08-24,2017-08-25,"SKU15",30.24,7,30.24,"Kg"
963357,797843,"SU001",2017-08-24,2017-08-25,"SKU01",9,3,3,"Car"
963364,797932,"SU003",2017-08-24,2017-08-25,"SKU05",11.241,2.602,2.602,"Car"
963376,797912,"SU004",2017-08-24,2017-08-25,"SKU08",12.48,2,12.48,"Kg"
963378,797865,"SU002",2017-08-24,2017-08-25,"SKU03",3.5,1.1667,1.1667,"Car"
1015217,842459,"SU002",2017-08-25,2017-08-26,"SKU17",38.88,9,38.88,"Kg"
1015235,842558,"SU004",2017-08-25,2017-08-26,"SKU09",221.76,44,221.76,"Kg"
1015272,842565,"SU003",2017-08-25,2017-08-26,"SKU07",140,50,140,"Kg"
1015353,842378,"SU003",2017-08-25,2017-08-26,"SKU14",29.7,5,29.7,"Kg"
1015354,842556,"SU001",2017-08-25,2017-08-26,"SKU20",50,5,50,"Kg"
1066130,883137,"SU004",2017-08-26,2017-08-27,"SKU10",277.2,44,277.2,"Kg"
1066131,883256,"SU004",2017-08-26,2017-08-27,"SKU08",268.32,43,268.32,"Kg"
1066132,883273,"SU003",2017-08-26,2017-08-27,"SKU05",12.96,3,3,"Car"
1066137,883273,"SU003",2017-08-26,2017-08-27,"SKU05",172.8,40,40,"Car"
1066139,883239,"SU004",2017-08-26,2017-08-27,"SKU09",181.44,36,181.44,"Kg"
1066147,883120,"SU002",2017-08-26,2017-08-27,"SKU16",364.01,29,364.01,"Kg"
1066160,883213,"SU003",2017-08-26,2017-08-27,"SKU13",50.4,21,50.4,"Kg"
1066181,883272,"SU003",2017-08-26,2017-08-27,"SKU05",51.84,12,12,"Car"
1066206,883327,"SU002",2017-08-26,2017-08-27,"SKU15",38.88,9,38.88,"Kg"
1066218,883136,"SU002",2017-08-26,2017-08-27,"SKU17",30.24,7,30.24,"Kg"
1066222,883274,"SU003",2017-08-26,2017-08-27,"SKU14",39.045,6.5732,39.045,"Kg"
1066230,883326,"SU002",2017-08-26,2017-08-27,"SKU15",21.6,5,21.6,"Kg"
1066254,883274,"SU003",2017-08-26,2017-08-27,"SKU14",14.415,2.4268,14.415,"Kg"
1066264,883255,"SU004",2017-08-26,2017-08-27,"SKU08",12.48,2,12.48,"Kg"
1066273,883135,"SU002",2017-08-26,2017-08-27,"SKU17",4.32,1,4.32,"Kg"
1112281,926065,"SU002",2017-08-27,2017-08-28,"SKU17",51.84,12,51.84,"Kg"
1112323,925955,"SU003",2017-08-27,2017-08-28,"SKU06",294.69,47,294.69,"Kg"
1112333,925954,"SU003",2017-08-27,2017-08-28,"SKU06",213.18,34,213.18,"Kg"
1112364,925916,"SU003",2017-08-27,2017-08-28,"SKU13",36,15,36,"Kg"
1112381,925971,"SU003",2017-08-27,2017-08-28,"SKU05",47.52,11,11,"Car"
1112419,926031,"SU002",2017-08-27,2017-08-28,"SKU15",21.6,5,21.6,"Kg"
1127199,957241,"SU001",2017-08-28,2017-08-29,"SKU19",36,6,36,"Kg"
1127200,957249,"SU002",2017-08-28,2017-08-29,"SKU16",552.29,44,552.29,"Kg"
1127204,957266,"SU004",2017-08-28,2017-08-29,"SKU10",144.9,23,144.9,"Kg"
1127205,957329,"SU001",2017-08-28,2017-08-29,"SKU01",3000,1000,1000,"Car"
1127206,957329,"SU001",2017-08-28,2017-08-29,"SKU01",3000,1000,1000,"Car"
1127207,957329,"SU001",2017-08-28,2017-08-29,"SKU01",2997,999,999,"Car"
1127208,957197,"SU002",2017-08-28,2017-08-29,"SKU02",12335.986355884,1000,1000,"Car"
