"SoOrderLineId","SoOrderId","SoEnteredDate","SoExpectedDate","SoCustomerId","SoProductId","SoQuantity","SoInKg","SoInCarton","SoUnitCost","SoSalesUnit"
3225,64,2017-08-02,2017-08-02,"CUS019","SKU10",6.3,6.3,1,25938.6136363636,"Kg"
3227,64,2017-08-02,2017-08-02,"CUS019","SKU08",18.72,18.72,3,21307.3684210526,"Kg"
3268,64,2017-08-02,2017-08-02,"CUS019","SKU09",10.08,10.08,2,172811.983870968,"Kg"
3292,65,2017-08-02,2017-08-02,"CUS011","SKU10",25.2,25.2,4,25938.6136363636,"Kg"
3302,65,2017-08-02,2017-08-02,"CUS011","SKU09",20.16,20.16,4,172811.983870968,"Kg"
3318,65,2017-08-02,2017-08-02,"CUS011","SKU08",18.72,18.72,3,21307.3684210526,"Kg"
3328,65,2017-08-02,2017-08-02,"CUS011","SKU05",4.32,4.32,1,27233.1621621622,"Kg"
3345,65,2017-08-02,2017-08-02,"CUS011","SKU02",222.05,222.05,18,12932.4226804124,"Kg"
3359,65,2017-08-02,2017-08-02,"CUS011","SKU14",5.94,5.94,1,27312.7555555556,"Kg"
3388,67,2017-08-02,2017-08-02,"CUS023","SKU01",600,600,200,12077.5,"Kg"
3416,70,2017-08-02,2017-08-02,"CUS044","SKU13",4.8,4.8,2,129717.741935484,"Kg"
3418,70,2017-08-02,2017-08-02,"CUS044","SKU07",5.6,5.6,2,48383.0327868852,"Kg"
3442,70,2017-08-02,2017-08-02,"CUS044","SKU02",246.72,246.72,20,12932.4226804124,"Kg"
3453,70,2017-08-02,2017-08-02,"CUS044","SKU06",6.27,6.27,1,26073.95,"Kg"
3469,71,2017-08-02,2017-08-02,"CUS027","SKU14",11.88,11.88,2,27312.7555555556,"Kg"
3493,71,2017-08-02,2017-08-02,"CUS027","SKU08",24.96,24.96,4,21307.3684210526,"Kg"
3509,71,2017-08-02,2017-08-02,"CUS027","SKU07",16.8,16.8,6,48383.0327868852,"Kg"
3537,71,2017-08-02,2017-08-02,"CUS027","SKU05",17.28,17.28,4,27233.1621621622,"Kg"
3549,72,2017-08-02,2017-08-02,"CUS001","SKU05",4.32,4.32,1,27233.1621621622,"Kg"
3577,72,2017-08-02,2017-08-02,"CUS001","SKU17",8.64,8.64,2,38995.5476190476,"Kg"
3612,72,2017-08-02,2017-08-02,"CUS001","SKU10",126,126,20,25938.6136363636,"Kg"
3613,72,2017-08-02,2017-08-02,"CUS001","SKU15",21.6,21.6,5,37440.25,"Kg"
3629,72,2017-08-02,2017-08-02,"CUS001","SKU07",25.2,25.2,9,48383.0327868852,"Kg"
3631,72,2017-08-02,2017-08-02,"CUS001","SKU06",125.4,125.4,20,26073.95,"Kg"
3662,72,2017-08-02,2017-08-02,"CUS001","SKU08",6.24,6.24,1,21307.3684210526,"Kg"
3694,74,2017-08-02,2017-08-02,"CUS036","SKU06",6.27,6.27,1,26073.95,"Kg"
3702,74,2017-08-02,2017-08-02,"CUS036","SKU09",5.04,5.04,1,172811.983870968,"Kg"
3712,74,2017-08-02,2017-08-02,"CUS036","SKU08",6.24,6.24,1,21307.3684210526,"Kg"
3713,74,2017-08-02,2017-08-02,"CUS036","SKU07",2.8,2.8,1,48383.0327868852,"Kg"
3715,74,2017-08-02,2017-08-02,"CUS036","SKU02",98.688,98.688,8,12932.4226804124,"Kg"
3767,75,2017-08-02,2017-08-02,"CUS041","SKU05",4.32,4.32,1,27233.1621621622,"Kg"
3773,75,2017-08-02,2017-08-02,"CUS041","SKU06",6.27,6.27,1,26073.95,"Kg"
3779,75,2017-08-02,2017-08-02,"CUS041","SKU02",86.352,86.352,7,12932.4226804124,"Kg"
3783,75,2017-08-02,2017-08-02,"CUS041","SKU16",12.552,12.552,1,15871.78125,"Kg"
3790,75,2017-08-02,2017-08-02,"CUS041","SKU10",6.3,6.3,1,25938.6136363636,"Kg"
3793,75,2017-08-02,2017-08-02,"CUS041","SKU09",5.04,5.04,1,172811.983870968,"Kg"
3797,76,2017-08-02,2017-08-02,"CUS014","SKU09",20.16,20.16,4,172811.983870968,"Kg"
3892,76,2017-08-02,2017-08-02,"CUS014","SKU08",12.48,12.48,2,21307.3684210526,"Kg"
3896,76,2017-08-02,2017-08-02,"CUS014","SKU02",185.04,185.04,15,12932.4226804124,"Kg"
3898,76,2017-08-02,2017-08-02,"CUS014","SKU15",8.64,8.64,2,37440.25,"Kg"
3903,76,2017-08-02,2017-08-02,"CUS014","SKU07",19.6,19.6,7,48383.0327868852,"Kg"
3904,76,2017-08-02,2017-08-02,"CUS014","SKU17",4.32,4.32,1,38995.5476190476,"Kg"
3906,76,2017-08-02,2017-08-02,"CUS014","SKU10",37.8,37.8,6,25938.6136363636,"Kg"
3907,76,2017-08-02,2017-08-02,"CUS014","SKU05",4.32,4.32,1,27233.1621621622,"Kg"
3939,77,2017-08-02,2017-08-02,"CUS008","SKU16",12.552,12.552,1,15871.78125,"Kg"
3949,77,2017-08-02,2017-08-02,"CUS008","SKU09",20.16,20.16,4,172811.983870968,"Kg"
3997,77,2017-08-02,2017-08-02,"CUS008","SKU06",6.27,6.27,1,26073.95,"Kg"
3999,77,2017-08-02,2017-08-02,"CUS008","SKU05",4.32,4.32,1,27233.1621621622,"Kg"
4001,77,2017-08-02,2017-08-02,"CUS008","SKU08",12.48,12.48,2,21307.3684210526,"Kg"
4005,77,2017-08-02,2017-08-02,"CUS008","SKU07",14,14,5,48383.0327868852,"Kg"
4012,77,2017-08-02,2017-08-02,"CUS008","SKU17",8.64,8.64,2,38995.5476190476,"Kg"
4013,77,2017-08-02,2017-08-02,"CUS008","SKU14",5.94,5.94,1,27312.7555555556,"Kg"
4034,77,2017-08-02,2017-08-02,"CUS008","SKU02",333.07,333.07,27,12932.4226804124,"Kg"
4038,77,2017-08-02,2017-08-02,"CUS008","SKU10",6.3,6.3,1,25938.6136363636,"Kg"
4041,78,2017-08-02,2017-08-02,"CUS010","SKU06",6.27,6.27,1,26073.95,"Kg"
4048,78,2017-08-02,2017-08-02,"CUS010","SKU09",20.16,20.16,4,172811.983870968,"Kg"
4057,78,2017-08-02,2017-08-02,"CUS010","SKU10",18.9,18.9,3,25938.6136363636,"Kg"
4080,78,2017-08-02,2017-08-02,"CUS010","SKU08",24.96,24.96,4,21307.3684210526,"Kg"
4105,78,2017-08-02,2017-08-02,"CUS010","SKU16",12.552,12.552,1,15871.78125,"Kg"
4108,78,2017-08-02,2017-08-02,"CUS010","SKU17",21.6,21.6,5,38995.5476190476,"Kg"
4152,78,2017-08-02,2017-08-02,"CUS010","SKU05",4.32,4.32,1,27233.1621621622,"Kg"
4158,78,2017-08-02,2017-08-02,"CUS010","SKU02",1406.3,1406.3,114,12932.4226804124,"Kg"
4167,78,2017-08-02,2017-08-02,"CUS010","SKU14",5.94,5.94,1,27312.7555555556,"Kg"
4172,78,2017-08-02,2017-08-02,"CUS010","SKU07",28,28,10,48383.0327868852,"Kg"
4186,79,2017-08-02,2017-08-02,"CUS107","SKU09",5.04,5.04,1,172811.983870968,"Kg"
4217,81,2017-08-02,2017-08-02,"CUS038","SKU07",11.2,11.2,4,48383.0327868852,"Kg"
4250,82,2017-08-02,2017-08-02,"CUS006","SKU17",4.32,4.32,1,38995.5476190476,"Kg"
4269,82,2017-08-02,2017-08-02,"CUS006","SKU09",5.04,5.04,1,172811.983870968,"Kg"
4281,83,2017-08-02,2017-08-02,"CUS043","SKU08",6.24,6.24,1,21307.3684210526,"Kg"
4322,83,2017-08-02,2017-08-02,"CUS043","SKU02",912.86,912.86,74,12932.4226804124,"Kg"
4351,83,2017-08-02,2017-08-02,"CUS043","SKU07",2.8,2.8,1,48383.0327868852,"Kg"
4365,84,2017-08-02,2017-08-02,"CUS017","SKU05",151.2,151.2,35,27233.1621621622,"Kg"
4373,84,2017-08-02,2017-08-02,"CUS017","SKU14",59.4,59.4,10,27312.7555555556,"Kg"
45924,977,2017-08-03,2017-08-03,"CUS009","SKU15",0.96,0.96,0.22222,37440.25,"Kg"
45935,977,2017-08-03,2017-08-03,"CUS009","SKU05",6.24,6.24,1.4444,27233.1621621622,"Kg"
46028,978,2017-08-03,2017-08-03,"CUS015","SKU04",3.768,3.768,2,24108.7142857143,"Kg"
46033,978,2017-08-03,2017-08-03,"CUS015","SKU11",3.744,3.744,2,23577.8928571429,"Kg"
46078,978,2017-08-03,2017-08-03,"CUS015","SKU05",0.48,0.48,0.11111,27233.1621621622,"Kg"
46082,978,2017-08-03,2017-08-03,"CUS015","SKU07",0.56,0.56,0.2,48383.0327868852,"Kg"
46095,978,2017-08-03,2017-08-03,"CUS015","SKU12",1.848,1.848,1,24372.1538461538,"Kg"
46125,980,2017-08-03,2017-08-03,"CUS020","SKU01",39,39,13,12077.5,"Kg"
46198,981,2017-08-03,2017-08-03,"CUS026","SKU04",3.768,3.768,2,24108.7142857143,"Kg"
46284,985,2017-08-03,2017-08-03,"CUS049","SKU13",4.8,4.8,2,129717.741935484,"Kg"
46315,987,2017-08-03,2017-08-03,"CUS003","SKU03",18,18,6,12122.1,"Kg"
46323,987,2017-08-03,2017-08-03,"CUS003","SKU01",18,18,6,12077.5,"Kg"
46414,988,2017-08-03,2017-08-03,"CUS037","SKU15",0.48,0.48,0.11111,37440.25,"Kg"
46435,989,2017-08-03,2017-08-03,"CUS024","SKU01",120,120,40,12077.5,"Kg"
46444,989,2017-08-03,2017-08-03,"CUS024","SKU03",120,120,40,12122.1,"Kg"
46455,989,2017-08-03,2017-08-03,"CUS024","SKU05",4.32,4.32,1,27233.1621621622,"Kg"
46466,990,2017-08-03,2017-08-03,"CUS061","SKU15",0.48,0.48,0.11111,37440.25,"Kg"
46532,992,2017-08-03,2017-08-03,"CUS030","SKU03",9,9,3,12122.1,"Kg"
46613,997,2017-08-03,2017-08-03,"CUS032","SKU01",90,90,30,12077.5,"Kg"
46619,997,2017-08-03,2017-08-03,"CUS032","SKU03",180,180,60,12122.1,"Kg"
46620,997,2017-08-03,2017-08-03,"CUS032","SKU05",17.28,17.28,4,27233.1621621622,"Kg"
46711,1005,2017-08-03,2017-08-03,"CUS084","SKU01",120,120,40,12077.5,"Kg"
46712,1005,2017-08-03,2017-08-03,"CUS084","SKU03",75,75,25,12122.1,"Kg"
46739,1007,2017-08-03,2017-08-03,"CUS016","SKU05",82.08,82.08,19,27233.1621621622,"Kg"
46776,1007,2017-08-03,2017-08-03,"CUS016","SKU15",56.16,56.16,13,37440.25,"Kg"
47154,1012,2017-08-03,2017-08-03,"CUS001","SKU06",62.7,62.7,10,26073.95,"Kg"
47155,1012,2017-08-03,2017-08-03,"CUS001","SKU10",63,63,10,25938.6136363636,"Kg"
47159,1012,2017-08-03,2017-08-03,"CUS001","SKU14",29.7,29.7,5,27312.7555555556,"Kg"
47168,1012,2017-08-03,2017-08-03,"CUS001","SKU05",17.28,17.28,4,27233.1621621622,"Kg"
47180,1012,2017-08-03,2017-08-03,"CUS001","SKU08",18.72,18.72,3,21307.3684210526,"Kg"
47181,1012,2017-08-03,2017-08-03,"CUS001","SKU07",14,14,5,48383.0327868852,"Kg"
47184,1012,2017-08-03,2017-08-03,"CUS001","SKU17",8.64,8.64,2,38995.5476190476,"Kg"
47208,1012,2017-08-03,2017-08-03,"CUS001","SKU15",12.96,12.96,3,37440.25,"Kg"
47305,1014,2017-08-03,2017-08-03,"CUS007","SKU01",18,18,6,12077.5,"Kg"
47323,1016,2017-08-03,2017-08-03,"CUS036","SKU06",12.54,12.54,2,26073.95,"Kg"
47333,1016,2017-08-03,2017-08-03,"CUS036","SKU09",15.12,15.12,3,172811.983870968,"Kg"
47342,1016,2017-08-03,2017-08-03,"CUS036","SKU05",21.6,21.6,5,27233.1621621622,"Kg"
47352,1016,2017-08-03,2017-08-03,"CUS036","SKU07",14,14,5,48383.0327868852,"Kg"
47394,1017,2017-08-03,2017-08-03,"CUS014","SKU06",12.54,12.54,2,26073.95,"Kg"
47415,1017,2017-08-03,2017-08-03,"CUS014","SKU15",4.32,4.32,1,37440.25,"Kg"
47419,1017,2017-08-03,2017-08-03,"CUS014","SKU08",6.24,6.24,1,21307.3684210526,"Kg"
47423,1017,2017-08-03,2017-08-03,"CUS014","SKU05",8.64,8.64,2,27233.1621621622,"Kg"
47445,1017,2017-08-03,2017-08-03,"CUS014","SKU20",10,10,1,37610.7857142857,"Kg"
47450,1017,2017-08-03,2017-08-03,"CUS014","SKU17",4.32,4.32,1,38995.5476190476,"Kg"
47459,1017,2017-08-03,2017-08-03,"CUS014","SKU09",15.12,15.12,3,172811.983870968,"Kg"
47467,1017,2017-08-03,2017-08-03,"CUS014","SKU07",11.2,11.2,4,48383.0327868852,"Kg"
47470,1017,2017-08-03,2017-08-03,"CUS014","SKU10",6.3,6.3,1,25938.6136363636,"Kg"
47520,1018,2017-08-03,2017-08-03,"CUS008","SKU08",6.24,6.24,1,21307.3684210526,"Kg"
47522,1018,2017-08-03,2017-08-03,"CUS008","SKU14",5.94,5.94,1,27312.7555555556,"Kg"
47531,1018,2017-08-03,2017-08-03,"CUS008","SKU09",30.24,30.24,6,172811.983870968,"Kg"
47549,1018,2017-08-03,2017-08-03,"CUS008","SKU17",8.64,8.64,2,38995.5476190476,"Kg"
47553,1018,2017-08-03,2017-08-03,"CUS008","SKU07",28,28,10,48383.0327868852,"Kg"
47614,1018,2017-08-03,2017-08-03,"CUS008","SKU10",6.3,6.3,1,25938.6136363636,"Kg"
47616,1018,2017-08-03,2017-08-03,"CUS008","SKU05",34.56,34.56,8,27233.1621621622,"Kg"
47621,1018,2017-08-03,2017-08-03,"CUS008","SKU20",10,10,1,37610.7857142857,"Kg"
47780,1028,2017-08-03,2017-08-03,"CUS034","SKU02",61.68,61.68,5,12932.4226804124,"Kg"
47812,1028,2017-08-03,2017-08-03,"CUS034","SKU07",2.8,2.8,1,48383.0327868852,"Kg"
47824,1028,2017-08-03,2017-08-03,"CUS034","SKU08",6.24,6.24,1,21307.3684210526,"Kg"
47826,1028,2017-08-03,2017-08-03,"CUS034","SKU15",4.32,4.32,1,37440.25,"Kg"
47831,1028,2017-08-03,2017-08-03,"CUS034","SKU17",4.32,4.32,1,38995.5476190476,"Kg"
47859,1029,2017-08-03,2017-08-03,"CUS039","SKU13",2.4,2.4,1,129717.741935484,"Kg"
47864,1029,2017-08-03,2017-08-03,"CUS039","SKU02",518.11,518.11,42,12932.4226804124,"Kg"
47877,1029,2017-08-03,2017-08-03,"CUS039","SKU10",6.3,6.3,1,25938.6136363636,"Kg"
47902,1029,2017-08-03,2017-08-03,"CUS039","SKU06",6.27,6.27,1,26073.95,"Kg"
47910,1029,2017-08-03,2017-08-03,"CUS039","SKU09",5.04,5.04,1,172811.983870968,"Kg"
88712,1939,2017-08-04,2017-08-04,"CUS009","SKU05",2.4,2.4,0.55556,27233.1621621622,"Kg"
88713,1939,2017-08-04,2017-08-04,"CUS009","SKU15",4.8,4.8,1.1111,37440.25,"Kg"
88718,1939,2017-08-04,2017-08-04,"CUS009","SKU08",3.12,3.12,0.5,21307.3684210526,"Kg"
88746,1939,2017-08-04,2017-08-04,"CUS009","SKU20",10,10,1,37610.7857142857,"Kg"
88800,1940,2017-08-04,2017-08-04,"CUS015","SKU12",3.696,3.696,2,24372.1538461538,"Kg"
88812,1940,2017-08-04,2017-08-04,"CUS015","SKU11",3.744,3.744,2,23577.8928571429,"Kg"
88840,1940,2017-08-04,2017-08-04,"CUS015","SKU13",4.8,4.8,2,129717.741935484,"Kg"
88841,1940,2017-08-04,2017-08-04,"CUS015","SKU04",5.652,5.652,3,24108.7142857143,"Kg"
88842,1940,2017-08-04,2017-08-04,"CUS015","SKU05",0.48,0.48,0.11111,27233.1621621622,"Kg"
88883,1940,2017-08-04,2017-08-04,"CUS015","SKU08",3.12,3.12,0.5,21307.3684210526,"Kg"
88891,1941,2017-08-04,2017-08-04,"CUS057","SKU12",1.848,1.848,1,24372.1538461538,"Kg"
88892,1941,2017-08-04,2017-08-04,"CUS057","SKU11",1.872,1.872,1,23577.8928571429,"Kg"
88906,1941,2017-08-04,2017-08-04,"CUS057","SKU04",1.884,1.884,1,24108.7142857143,"Kg"
88933,1942,2017-08-01,2017-08-01,"CUS020","SKU15",4.32,4.32,1,37440.25,"Kg"
89008,1943,2017-08-04,2017-08-04,"CUS026","SKU04",1.884,1.884,1,24108.7142857143,"Kg"
89064,1943,2017-08-04,2017-08-04,"CUS026","SKU05",0.96,0.96,0.22222,27233.1621621622,"Kg"
89132,1946,2017-08-04,2017-08-04,"CUS049","SKU05",1.44,1.44,0.33333,27233.1621621622,"Kg"
89160,1947,2017-08-04,2017-08-04,"CUS109","SKU10",3.78,3.78,0.6,25938.6136363636,"Kg"
89196,1948,2017-08-04,2017-08-04,"CUS003","SKU01",1200,1200,400,12077.5,"Kg"
89206,1950,2017-08-01,2017-08-01,"CUS024","SKU05",4.32,4.32,1,27233.1621621622,"Kg"
89223,1950,2017-08-01,2017-08-01,"CUS024","SKU01",90,90,30,12077.5,"Kg"
89262,1952,2017-08-04,2017-08-04,"CUS030","SKU03",42,42,14,12122.1,"Kg"
89265,1952,2017-08-04,2017-08-04,"CUS030","SKU01",90,90,30,12077.5,"Kg"
89272,1953,2017-08-04,2017-08-04,"CUS013","SKU01",600,600,200,12077.5,"Kg"
89275,1953,2017-08-04,2017-08-04,"CUS013","SKU11",37.44,37.44,20,23577.8928571429,"Kg"
89290,1953,2017-08-04,2017-08-04,"CUS013","SKU04",37.68,37.68,20,24108.7142857143,"Kg"
89296,1953,2017-08-04,2017-08-04,"CUS013","SKU03",240,240,80,12122.1,"Kg"
89316,1955,2017-08-04,2017-08-04,"CUS032","SKU05",8.64,8.64,2,27233.1621621622,"Kg"
89320,1955,2017-08-04,2017-08-04,"CUS032","SKU01",90,90,30,12077.5,"Kg"
89327,1955,2017-08-04,2017-08-04,"CUS032","SKU03",90,90,30,12122.1,"Kg"
89343,1957,2017-08-04,2017-08-04,"CUS045","SKU03",30,30,10,12122.1,"Kg"
89351,1957,2017-08-04,2017-08-04,"CUS045","SKU12",1.848,1.848,1,24372.1538461538,"Kg"
89354,1957,2017-08-04,2017-08-04,"CUS045","SKU01",60,60,20,12077.5,"Kg"
89371,1958,2017-08-01,2017-08-01,"CUS012","SKU01",300,300,100,12077.5,"Kg"
89382,1958,2017-08-01,2017-08-01,"CUS012","SKU03",150,150,50,12122.1,"Kg"
89396,1958,2017-08-01,2017-08-01,"CUS012","SKU05",2.4,2.4,0.55556,27233.1621621622,"Kg"
89434,1961,2017-08-04,2017-08-04,"CUS089","SKU05",4.8,4.8,1.1111,27233.1621621622,"Kg"
89471,1965,2017-08-04,2017-08-04,"CUS021","SKU01",600,600,200,12077.5,"Kg"
89473,1965,2017-08-04,2017-08-04,"CUS021","SKU03",501,501,167,12122.1,"Kg"
89480,1966,2017-08-01,2017-08-01,"CUS073","SKU05",8.64,8.64,2,27233.1621621622,"Kg"
89497,1967,2017-08-04,2017-08-04,"CUS002","SKU07",106.4,106.4,38,48383.0327868852,"Kg"
89501,1967,2017-08-04,2017-08-04,"CUS002","SKU01",3498,3498,1166,12077.5,"Kg"
89505,1967,2017-08-04,2017-08-04,"CUS002","SKU03",3498,3498,1166,12122.1,"Kg"
89525,1968,2017-08-04,2017-08-04,"CUS022","SKU10",18.9,18.9,3,25938.6136363636,"Kg"
89528,1968,2017-08-04,2017-08-04,"CUS022","SKU14",5.94,5.94,1,27312.7555555556,"Kg"
89531,1968,2017-08-04,2017-08-04,"CUS022","SKU08",6.24,6.24,1,21307.3684210526,"Kg"
89566,1968,2017-08-04,2017-08-04,"CUS022","SKU07",11.2,11.2,4,48383.0327868852,"Kg"
89567,1968,2017-08-04,2017-08-04,"CUS022","SKU17",8.64,8.64,2,38995.5476190476,"Kg"
89583,1968,2017-08-04,2017-08-04,"CUS022","SKU09",40.32,40.32,8,172811.983870968,"Kg"
89611,1968,2017-08-04,2017-08-04,"CUS022","SKU15",4.32,4.32,1,37440.25,"Kg"
89636,1968,2017-08-04,2017-08-04,"CUS022","SKU05",34.56,34.56,8,27233.1621621622,"Kg"
89647,1968,2017-08-04,2017-08-04,"CUS022","SKU06",6.27,6.27,1,26073.95,"Kg"
89654,1968,2017-08-04,2017-08-04,"CUS022","SKU02",246.72,246.72,20,12932.4226804124,"Kg"
89706,1969,2017-08-04,2017-08-04,"CUS005","SKU08",12.48,12.48,2,21307.3684210526,"Kg"
89713,1969,2017-08-04,2017-08-04,"CUS005","SKU14",5.94,5.94,1,27312.7555555556,"Kg"
89748,1969,2017-08-04,2017-08-04,"CUS005","SKU10",6.3,6.3,1,25938.6136363636,"Kg"
89779,1970,2017-08-01,2017-08-01,"CUS004","SKU05",8.64,8.64,2,27233.1621621622,"Kg"
89811,1971,2017-08-04,2017-08-04,"CUS019","SKU10",6.3,6.3,1,25938.6136363636,"Kg"
89846,1971,2017-08-04,2017-08-04,"CUS019","SKU17",4.32,4.32,1,38995.5476190476,"Kg"
89861,1971,2017-08-04,2017-08-04,"CUS019","SKU08",18.72,18.72,3,21307.3684210526,"Kg"
89877,1972,2017-08-04,2017-08-04,"CUS011","SKU06",6.27,6.27,1,26073.95,"Kg"
89898,1972,2017-08-04,2017-08-04,"CUS011","SKU02",382.42,382.42,31,12932.4226804124,"Kg"
89902,1972,2017-08-04,2017-08-04,"CUS011","SKU16",12.552,12.552,1,15871.78125,"Kg"
89903,1972,2017-08-04,2017-08-04,"CUS011","SKU08",12.48,12.48,2,21307.3684210526,"Kg"
89929,1972,2017-08-04,2017-08-04,"CUS011","SKU10",6.3,6.3,1,25938.6136363636,"Kg"
89941,1973,2017-08-04,2017-08-04,"CUS023","SKU01",1200,1200,400,12077.5,"Kg"
89952,1974,2017-08-04,2017-08-04,"CUS044","SKU13",2.4,2.4,1,129717.741935484,"Kg"
89982,1974,2017-08-04,2017-08-04,"CUS044","SKU06",6.27,6.27,1,26073.95,"Kg"
89983,1974,2017-08-04,2017-08-04,"CUS044","SKU10",6.3,6.3,1,25938.6136363636,"Kg"
