"ToOrderLineId","SoOrderLineId","ToCustomerId","ToDepartureDate","ToArrivalDate","ToProductId","ToInKg","ToInCarton","ToQuantity","ToSalesUnit"
4193,3148,"CUS004",2017-08-02,2017-08-02,"SKU09",63.887,12.676,63.887,"Kg"
4199,3148,"CUS004",2017-08-02,2017-08-03,"SKU09",57.073,11.324,57.073,"Kg"
4214,3188,"CUS004",2017-08-02,2017-08-03,"SKU06",37.62,6,37.62,"Kg"
4252,3135,"CUS004",2017-08-02,2017-08-02,"SKU15",9.1904,2.1274,9.1904,"Kg"
4254,3154,"CUS004",2017-08-02,2017-08-02,"SKU20",20,2,20,"Kg"
4275,3135,"CUS004",2017-08-02,2017-08-02,"SKU15",3.4944,0.8089,3.4944,"Kg"
4276,3111,"CUS004",2017-08-02,2017-08-02,"SKU05",1.3435,0.311,1.3435,"Kg"
4307,4373,"CUS017",2017-08-02,2017-08-04,"SKU14",51.004,8.5865,51.004,"Kg"
4308,4365,"CUS017",2017-08-02,2017-08-03,"SKU05",14.208,3.289,14.208,"Kg"
4323,4365,"CUS017",2017-08-02,2017-08-04,"SKU05",136.99,31.711,136.99,"Kg"
4342,4373,"CUS017",2017-08-02,2017-08-04,"SKU14",8.3962,1.4135,8.3962,"Kg"
41829,46613,"CUS032",2017-08-03,2017-08-03,"SKU01",90,30,90,"Kg"
41834,46323,"CUS003",2017-08-03,2017-08-04,"SKU01",18,6,18,"Kg"
41848,47812,"CUS034",2017-08-03,2017-08-05,"SKU07",2.8,1,2.8,"Kg"
41849,46082,"CUS015",2017-08-03,2017-08-04,"SKU07",0.56,0.2,0.56,"Kg"
41884,47831,"CUS034",2017-08-03,2017-08-05,"SKU17",4.32,1,4.32,"Kg"
41918,47826,"CUS034",2017-08-03,2017-08-05,"SKU15",2.4019,0.556,2.4019,"Kg"
41951,46619,"CUS032",2017-08-03,2017-08-03,"SKU03",134.37,44.79,134.37,"Kg"
41957,46315,"CUS003",2017-08-03,2017-08-05,"SKU03",18,6,18,"Kg"
41989,46619,"CUS032",2017-08-03,2017-08-03,"SKU03",45.63,15.21,45.63,"Kg"
42039,46620,"CUS032",2017-08-03,2017-08-03,"SKU05",17.28,4,17.28,"Kg"
42131,46028,"CUS015",2017-08-03,2017-08-04,"SKU04",3.768,2,3.768,"Kg"
42132,46033,"CUS015",2017-08-03,2017-08-04,"SKU11",3.744,2,3.744,"Kg"
42141,47910,"CUS039",2017-08-03,2017-08-06,"SKU09",5.04,1,5.04,"Kg"
42155,46095,"CUS015",2017-08-03,2017-08-03,"SKU12",1.848,1,1.848,"Kg"
42198,47824,"CUS034",2017-08-03,2017-08-05,"SKU08",6.24,1,6.24,"Kg"
42225,47877,"CUS039",2017-08-03,2017-08-05,"SKU10",6.3,1,6.3,"Kg"
42226,47902,"CUS039",2017-08-03,2017-08-06,"SKU06",6.27,1,6.27,"Kg"
42233,47859,"CUS039",2017-08-03,2017-08-05,"SKU13",2.4,1,2.4,"Kg"
42283,46078,"CUS015",2017-08-03,2017-08-03,"SKU05",0.48,0.11111,0.48,"Kg"
42291,46125,"CUS020",2017-08-03,2017-08-04,"SKU01",39,13,39,"Kg"
42350,46532,"CUS030",2017-08-03,2017-08-05,"SKU03",9,3,9,"Kg"
42451,46414,"CUS037",2017-08-03,2017-08-03,"SKU15",0.48,0.11111,0.48,"Kg"
42501,45935,"CUS009",2017-08-03,2017-08-03,"SKU05",6.24,1.4444,6.24,"Kg"
42553,45924,"CUS009",2017-08-03,2017-08-03,"SKU15",0.96,0.22222,0.96,"Kg"
42643,46466,"CUS061",2017-08-03,2017-08-05,"SKU15",0.48,0.11111,0.48,"Kg"
42688,46198,"CUS026",2017-08-03,2017-08-03,"SKU04",3.768,2,3.768,"Kg"
42761,46284,"CUS049",2017-08-03,2017-08-03,"SKU13",4.8,2,4.8,"Kg"
42842,46444,"CUS024",2017-08-03,2017-08-04,"SKU03",120,40,120,"Kg"
42844,46435,"CUS024",2017-08-03,2017-08-04,"SKU01",120,40,120,"Kg"
42865,46455,"CUS024",2017-08-03,2017-08-04,"SKU05",4.32,1,4.32,"Kg"
42890,47616,"CUS008",2017-08-03,2017-08-06,"SKU05",34.56,8,34.56,"Kg"
42908,47553,"CUS008",2017-08-03,2017-08-05,"SKU07",28,10,28,"Kg"
42920,47531,"CUS008",2017-08-03,2017-08-06,"SKU09",30.24,6,30.24,"Kg"
42928,47549,"CUS008",2017-08-03,2017-08-06,"SKU17",8.64,2,8.64,"Kg"
42958,47522,"CUS008",2017-08-03,2017-08-06,"SKU14",5.94,1,5.94,"Kg"
42959,47520,"CUS008",2017-08-03,2017-08-06,"SKU08",6.24,1,6.24,"Kg"
42979,47614,"CUS008",2017-08-03,2017-08-06,"SKU10",6.3,1,6.3,"Kg"
42986,47621,"CUS008",2017-08-03,2017-08-05,"SKU20",10,1,10,"Kg"
42992,46711,"CUS084",2017-08-03,2017-08-04,"SKU01",120,40,120,"Kg"
43004,47181,"CUS001",2017-08-03,2017-08-03,"SKU07",14,5,14,"Kg"
43005,47467,"CUS014",2017-08-03,2017-08-04,"SKU07",11.2,4,11.2,"Kg"
43018,47184,"CUS001",2017-08-03,2017-08-03,"SKU17",8.64,2,8.64,"Kg"
43033,47450,"CUS014",2017-08-03,2017-08-04,"SKU17",4.32,1,4.32,"Kg"
43045,47208,"CUS001",2017-08-03,2017-08-04,"SKU15",12.96,3,12.96,"Kg"
43053,47415,"CUS014",2017-08-03,2017-08-03,"SKU15",4.32,1,4.32,"Kg"
43136,47159,"CUS001",2017-08-03,2017-08-04,"SKU14",29.7,5,29.7,"Kg"
43144,47180,"CUS001",2017-08-03,2017-08-04,"SKU08",18.72,3,18.72,"Kg"
43170,47419,"CUS014",2017-08-03,2017-08-04,"SKU08",6.24,1,6.24,"Kg"
43187,47168,"CUS001",2017-08-03,2017-08-04,"SKU05",17.28,4,17.28,"Kg"
43188,47423,"CUS014",2017-08-03,2017-08-04,"SKU05",8.64,2,8.64,"Kg"
43232,46712,"CUS084",2017-08-03,2017-08-03,"SKU03",75,25,75,"Kg"
43233,47155,"CUS001",2017-08-03,2017-08-04,"SKU10",57.777,9.171,57.777,"Kg"
43236,47154,"CUS001",2017-08-03,2017-08-03,"SKU06",28.065,4.476,28.065,"Kg"
43250,47154,"CUS001",2017-08-03,2017-08-04,"SKU06",34.635,5.524,34.635,"Kg"
43255,47394,"CUS014",2017-08-03,2017-08-03,"SKU06",12.54,2,12.54,"Kg"
43258,47470,"CUS014",2017-08-03,2017-08-04,"SKU10",6.3,1,6.3,"Kg"
43259,47155,"CUS001",2017-08-03,2017-08-03,"SKU10",5.2227,0.829,5.2227,"Kg"
43265,47459,"CUS014",2017-08-03,2017-08-04,"SKU09",15.12,3,15.12,"Kg"
43275,47445,"CUS014",2017-08-03,2017-08-03,"SKU20",10,1,10,"Kg"
43432,47342,"CUS036",2017-08-03,2017-08-03,"SKU05",21.6,5,21.6,"Kg"
43439,47333,"CUS036",2017-08-03,2017-08-03,"SKU09",15.12,3,15.12,"Kg"
43444,47352,"CUS036",2017-08-03,2017-08-03,"SKU07",14,5,14,"Kg"
43492,47323,"CUS036",2017-08-03,2017-08-03,"SKU06",12.54,2,12.54,"Kg"
43696,46776,"CUS016",2017-08-03,2017-08-04,"SKU15",56.16,13,56.16,"Kg"
43738,46739,"CUS016",2017-08-03,2017-08-04,"SKU05",61.077,14.138,61.077,"Kg"
43753,46739,"CUS016",2017-08-03,2017-08-04,"SKU05",21.003,4.8618,21.003,"Kg"
81965,89196,"CUS003",2017-08-04,2017-08-06,"SKU01",1200,400,1200,"Kg"
81966,89501,"CUS002",2017-08-04,2017-08-05,"SKU01",111,37,111,"Kg"
81967,89501,"CUS002",2017-08-04,2017-08-05,"SKU01",2552.7,850.9,2552.7,"Kg"
81968,89505,"CUS002",2017-08-04,2017-08-05,"SKU03",447,149,447,"Kg"
81969,89505,"CUS002",2017-08-04,2017-08-05,"SKU03",1561.5,520.5,1561.5,"Kg"
81970,89505,"CUS002",2017-08-04,2017-08-04,"SKU03",1437,479,1437,"Kg"
81971,89501,"CUS002",2017-08-04,2017-08-04,"SKU01",834.3,278.1,834.3,"Kg"
81972,89471,"CUS021",2017-08-04,2017-08-04,"SKU01",600,200,600,"Kg"
81973,89473,"CUS021",2017-08-04,2017-08-04,"SKU03",430.92,143.64,430.92,"Kg"
82003,89320,"CUS032",2017-08-04,2017-08-04,"SKU01",90,30,90,"Kg"
82004,89327,"CUS032",2017-08-04,2017-08-05,"SKU03",90,30,90,"Kg"
82008,89497,"CUS002",2017-08-04,2017-08-04,"SKU07",70.56,25.2,70.56,"Kg"
82009,89473,"CUS021",2017-08-04,2017-08-04,"SKU03",70.08,23.36,70.08,"Kg"
82020,89505,"CUS002",2017-08-04,2017-08-05,"SKU03",52.5,17.5,52.5,"Kg"
82031,89497,"CUS002",2017-08-04,2017-08-05,"SKU07",35.84,12.8,35.84,"Kg"
82051,90366,"CUS010",2017-08-04,2017-08-07,"SKU07",25.2,9,25.2,"Kg"
82114,90308,"CUS048",2017-08-04,2017-08-07,"SKU07",14,5,14,"Kg"
82118,90394,"CUS010",2017-08-04,2017-08-06,"SKU09",25.2,5,25.2,"Kg"
82169,90316,"CUS048",2017-08-04,2017-08-07,"SKU05",12.96,3,12.96,"Kg"
82193,88841,"CUS015",2017-08-04,2017-08-04,"SKU04",5.652,3,5.652,"Kg"
82197,89861,"CUS019",2017-08-04,2017-08-05,"SKU08",18.72,3,18.72,"Kg"
82230,89706,"CUS005",2017-08-04,2017-08-04,"SKU08",12.48,2,12.48,"Kg"
82233,88840,"CUS015",2017-08-04,2017-08-04,"SKU13",4.8,2,4.8,"Kg"
82235,90448,"CUS010",2017-08-04,2017-08-06,"SKU16",25.104,2,25.104,"Kg"
82252,90305,"CUS048",2017-08-04,2017-08-06,"SKU09",10.08,2,10.08,"Kg"
82269,88812,"CUS015",2017-08-04,2017-08-04,"SKU11",3.744,2,3.744,"Kg"
82283,90407,"CUS010",2017-08-04,2017-08-06,"SKU08",12.48,2,12.48,"Kg"
82285,89316,"CUS032",2017-08-04,2017-08-04,"SKU05",8.64,2,8.64,"Kg"
82287,89480,"CUS073",2017-08-04,2017-08-06,"SKU05",8.64,2,8.64,"Kg"
82299,88800,"CUS015",2017-08-04,2017-08-05,"SKU12",3.696,2,3.696,"Kg"
82302,90450,"CUS010",2017-08-04,2017-08-07,"SKU05",8.5234,1.973,8.5234,"Kg"
82325,89434,"CUS089",2017-08-04,2017-08-05,"SKU05",4.8,1.1111,4.8,"Kg"
82337,89713,"CUS005",2017-08-04,2017-08-05,"SKU14",5.94,1,5.94,"Kg"
82338,89811,"CUS019",2017-08-04,2017-08-06,"SKU10",6.3,1,6.3,"Kg"
82339,89748,"CUS005",2017-08-04,2017-08-04,"SKU10",6.3,1,6.3,"Kg"
82340,90336,"CUS048",2017-08-04,2017-08-06,"SKU10",6.3,1,6.3,"Kg"
82349,88906,"CUS057",2017-08-04,2017-08-04,"SKU04",1.884,1,1.884,"Kg"
82351,88892,"CUS057",2017-08-04,2017-08-05,"SKU11",1.872,1,1.872,"Kg"
82354,88891,"CUS057",2017-08-04,2017-08-04,"SKU12",1.848,1,1.848,"Kg"
82364,90301,"CUS048",2017-08-04,2017-08-06,"SKU08",6.24,1,6.24,"Kg"
82406,89846,"CUS019",2017-08-04,2017-08-05,"SKU17",4.32,1,4.32,"Kg"
82481,90437,"CUS010",2017-08-04,2017-08-07,"SKU10",6.3,1,6.3,"Kg"
82520,88883,"CUS015",2017-08-04,2017-08-05,"SKU08",3.12,0.5,3.12,"Kg"
82579,88842,"CUS015",2017-08-04,2017-08-05,"SKU05",0.48,0.11111,0.48,"Kg"
82608,89272,"CUS013",2017-08-04,2017-08-05,"SKU01",600,200,600,"Kg"
82615,89265,"CUS030",2017-08-04,2017-08-06,"SKU01",90,30,90,"Kg"
82669,89290,"CUS013",2017-08-04,2017-08-05,"SKU04",37.68,20,37.68,"Kg"
82670,89275,"CUS013",2017-08-04,2017-08-05,"SKU11",37.44,20,37.44,"Kg"
82686,89296,"CUS013",2017-08-04,2017-08-04,"SKU03",240,80,240,"Kg"
82688,89262,"CUS030",2017-08-04,2017-08-07,"SKU03",42,14,42,"Kg"
82784,88746,"CUS009",2017-08-04,2017-08-04,"SKU20",10,1,10,"Kg"
82818,88712,"CUS009",2017-08-04,2017-08-05,"SKU05",2.4,0.55556,2.4,"Kg"
82830,88718,"CUS009",2017-08-04,2017-08-05,"SKU08",3.12,0.5,3.12,"Kg"
82871,89354,"CUS045",2017-08-04,2017-08-04,"SKU01",60,20,60,"Kg"
82872,89343,"CUS045",2017-08-04,2017-08-05,"SKU03",30,10,30,"Kg"
82886,89351,"CUS045",2017-08-04,2017-08-04,"SKU12",1.848,1,1.848,"Kg"
82940,89008,"CUS026",2017-08-04,2017-08-05,"SKU04",1.884,1,1.884,"Kg"
82962,89064,"CUS026",2017-08-04,2017-08-05,"SKU05",0.96,0.22222,0.96,"Kg"
82996,89132,"CUS049",2017-08-04,2017-08-04,"SKU05",1.44,0.33333,1.44,"Kg"
83024,89371,"CUS012",2017-08-04,2017-08-05,"SKU01",300,100,300,"Kg"
83028,89382,"CUS012",2017-08-04,2017-08-06,"SKU03",150,50,150,"Kg"
83055,89396,"CUS012",2017-08-04,2017-08-06,"SKU05",2.4,0.55556,2.4,"Kg"
83062,89223,"CUS024",2017-08-04,2017-08-04,"SKU01",90,30,90,"Kg"
83099,89206,"CUS024",2017-08-04,2017-08-04,"SKU05",4.32,1,4.32,"Kg"
83129,89902,"CUS011",2017-08-04,2017-08-05,"SKU16",12.552,1,12.552,"Kg"
83130,89903,"CUS011",2017-08-04,2017-08-04,"SKU08",12.48,2,12.48,"Kg"
83141,89929,"CUS011",2017-08-04,2017-08-05,"SKU10",6.3,1,6.3,"Kg"
83149,89877,"CUS011",2017-08-04,2017-08-05,"SKU06",6.27,1,6.27,"Kg"
83161,90214,"CUS008",2017-08-04,2017-08-06,"SKU05",30.24,7,30.24,"Kg"
83167,90274,"CUS008",2017-08-04,2017-08-07,"SKU07",25.2,9,25.2,"Kg"
83170,90271,"CUS008",2017-08-04,2017-08-07,"SKU09",20.16,4,20.16,"Kg"
83184,90278,"CUS008",2017-08-04,2017-08-07,"SKU06",6.27,1,6.27,"Kg"
83188,90243,"CUS008",2017-08-04,2017-08-07,"SKU20",10,1,10,"Kg"
83213,90282,"CUS008",2017-08-04,2017-08-06,"SKU17",8.64,2,8.64,"Kg"
83214,90269,"CUS008",2017-08-04,2017-08-06,"SKU10",6.3,1,6.3,"Kg"
83246,89941,"CUS023",2017-08-04,2017-08-04,"SKU01",1050,350,1050,"Kg"
83247,89941,"CUS023",2017-08-04,2017-08-04,"SKU01",150,50,150,"Kg"
83259,90137,"CUS014",2017-08-04,2017-08-04,"SKU05",30.24,7,30.24,"Kg"
83274,90162,"CUS014",2017-08-04,2017-08-04,"SKU07",11.2,4,11.2,"Kg"
83280,90148,"CUS014",2017-08-04,2017-08-04,"SKU09",20.16,4,20.16,"Kg"
83311,90205,"CUS014",2017-08-04,2017-08-04,"SKU10",12.6,2,12.6,"Kg"
83334,90037,"CUS001",2017-08-04,2017-08-04,"SKU17",8.64,2,8.64,"Kg"
83342,90070,"CUS001",2017-08-04,2017-08-05,"SKU07",4.9,1.75,4.9,"Kg"
83344,90003,"CUS094",2017-08-04,2017-08-06,"SKU19",6.2664,1.0444,6.2664,"Kg"
83350,90025,"CUS001",2017-08-04,2017-08-04,"SKU05",4.32,1,4.32,"Kg"
83361,90065,"CUS001",2017-08-04,2017-08-04,"SKU14",5.94,1,5.94,"Kg"
83391,90142,"CUS014",2017-08-04,2017-08-04,"SKU16",12.552,1,12.552,"Kg"
83400,90175,"CUS014",2017-08-04,2017-08-04,"SKU06",6.27,1,6.27,"Kg"
83411,90003,"CUS094",2017-08-04,2017-08-05,"SKU19",5.7336,0.9556,5.7336,"Kg"
83413,90070,"CUS001",2017-08-04,2017-08-04,"SKU07",0.7,0.25,0.7,"Kg"
83421,90073,"CUS041",2017-08-04,2017-08-04,"SKU07",8.4,3,8.4,"Kg"
